dataset,condition,target_index,target_total,target,status,message,elapsed_sec,n_poses,n_valid,n_success_available,best_available_dockq,top1_pose_model,top1_score,top1_dockq,top1_irmsd,top1_crmsd,top1_classification,success@1,success@3,success@5,success@10,success@100
DB5,holo,34,218,1XQS,done,,3.918,1,1,1,0.985000,hdock_1,-0.702442,0.985000,0.247179,0.237689,high,1,1,1,1,1
DB5,holo,35,218,1M10,done,,3.958,1,1,1,0.970000,hdock_1,-0.722572,0.970000,0.279519,0.394977,high,1,1,1,1,1
DB5,holo,36,218,1I2M,done,,4.711,1,1,1,0.988000,hdock_1,-0.729802,0.988000,0.230085,0.263626,high,1,1,1,1,1
DB5,holo,37,218,2Z0E,done,,3.778,1,1,1,0.990000,hdock_1,-0.700781,0.990000,0.222350,0.279078,high,1,1,1,1,1
DB5,holo,38,218,1LFD,done,,2.254,1,1,1,0.993000,hdock_1,-0.740550,0.993000,0.181242,0.206074,high,1,1,1,1,1
DB5,holo,39,218,1PVH,done,,3.176,1,1,1,0.967000,hdock_1,-0.751158,0.967000,0.355458,0.654571,high,1,1,1,1,1
DB5,holo,40,218,6A0Z,done,,5.988,1,1,1,0.926000,hdock_1,-0.722486,0.926000,0.368340,0.793336,high,1,1,1,1,1
DB5,holo,41,218,2VIS,done,,5.932,1,1,0,0.016000,hdock_1,-0.695401,0.016000,15.121778,21.602270,unacceptable,0,0,0,0,0
DB5,holo,42,218,4G6M,done,,4.923,1,1,1,0.992000,hdock_1,-0.752305,0.992000,0.184474,0.197505,high,1,1,1,1,1
DB5,holo,43,218,1M27,done,,1.762,1,1,0,0.014000,hdock_1,-0.653632,0.014000,15.370935,16.498348,unacceptable,0,0,0,0,0
DB5,holo,44,218,1IJK,done,,3.912,1,1,1,0.991000,hdock_1,-0.734650,0.991000,0.235955,0.244596,high,1,1,1,1,1
DB5,holo,45,218,3R9A,done,,9.414,1,1,1,0.982000,hdock_1,-0.830942,0.982000,0.322329,0.444990,high,1,1,1,1,1
DB5,holo,46,218,5Y9J,done,,7.192,1,1,1,0.991000,hdock_1,-0.705586,0.991000,0.198955,0.271415,high,1,1,1,1,1
DB5,holo,47,218,1HCF,done,,3.033,1,1,1,0.971000,hdock_1,-0.671912,0.971000,0.339867,0.381904,high,1,1,1,1,1
DB5,holo,48,218,3PC8,done,,1.651,1,1,1,0.984000,hdock_1,-0.701496,0.984000,0.274445,0.301027,high,1,1,1,1,1
DB5,holo,49,218,1AK4,done,,2.464,1,1,0,0.050000,hdock_1,-0.723766,0.050000,9.255823,10.697096,unacceptable,0,0,0,0,0
DB5,holo,50,218,2GAF,done,,6.370,1,1,1,0.984000,hdock_1,-0.778243,0.984000,0.282601,0.262935,high,1,1,1,1,1
DB5,holo,51,218,1FQ1,done,,4.235,1,1,1,0.966000,hdock_1,-0.678677,0.966000,0.282545,0.395251,high,1,1,1,1,1
DB5,holo,52,218,1I4D,done,,4.848,1,1,1,0.963000,hdock_1,-0.708560,0.963000,0.332857,0.526935,high,1,1,1,1,1
DB5,,53,218,1E6J,error,'O',0.000,,,,,,,,,,,,,,,
DB5,holo,54,218,3EO1,done,,5.832,1,1,0,0.017000,hdock_1,-0.699118,0.017000,14.931576,12.795693,unacceptable,0,0,0,0,0
DB5,holo,55,218,3LVK,done,,7.298,1,1,0,0.008000,hdock_1,-0.711287,0.008000,20.719908,17.445835,unacceptable,0,0,0,0,0
DB5,holo,56,218,6A77,done,,4.635,1,1,1,0.989000,hdock_1,-0.707281,0.989000,0.252756,0.216217,high,1,1,1,1,1
DB5,holo,57,218,2YVJ,done,,4.399,1,1,0,0.083000,hdock_1,-0.698386,0.083000,11.680935,8.016748,unacceptable,0,0,0,0,0
DB5,holo,58,218,7CEI,done,,1.996,1,1,1,0.980000,hdock_1,-0.679362,0.980000,0.257021,0.302961,high,1,1,1,1,1
DB5,holo,59,218,1RKE,done,,3.738,1,1,1,0.982000,hdock_1,-0.732541,0.982000,0.198654,0.310251,high,1,1,1,1,1
DB5,holo,60,218,3K75,done,,3.517,1,1,0,0.013000,hdock_1,-0.710783,0.013000,15.484825,21.972248,unacceptable,0,0,0,0,0
DB5,holo,61,218,1JTG,done,,3.900,1,1,1,0.972000,hdock_1,-0.714240,0.972000,0.249947,0.309335,high,1,1,1,1,1
DB5,holo,62,218,5SV3,done,,2.672,1,1,1,0.988000,hdock_1,-0.689703,0.988000,0.225301,0.250165,high,1,1,1,1,1
DB5,holo,63,218,1ATN,done,,5.289,1,1,1,0.966000,hdock_1,-0.683656,0.966000,0.314567,0.590317,high,1,1,1,1,1
DB5,holo,64,218,3MXW,done,,5.090,1,1,1,0.981000,hdock_1,-0.736062,0.981000,0.268403,0.274472,high,1,1,1,1,1
DB5,holo,65,218,2X9A,done,,1.585,1,1,1,0.992000,hdock_1,-0.744395,0.992000,0.223380,0.215348,high,1,1,1,1,1
DB5,holo,66,218,3H2V,done,,2.209,1,1,1,0.963000,hdock_1,-0.775949,0.963000,0.261568,0.580472,high,1,1,1,1,1
DB5,holo,67,218,6OC3,done,,5.686,1,1,0,0.021000,hdock_1,-0.702370,0.021000,14.607712,14.018636,unacceptable,0,0,0,0,0
DB5,holo,68,218,1WDW,done,,8.749,1,1,1,0.980000,hdock_1,-0.659826,0.980000,0.279608,0.275096,high,1,1,1,1,1
DB5,,69,218,2CFH,error,'CA',0.000,,,,,,,,,,,,,,,
DB5,holo,70,218,1JIW,done,,4.456,1,1,1,0.990000,hdock_1,-0.750945,0.990000,0.087056,0.090653,high,1,1,1,1,1
DB5,holo,71,218,2SIC,done,,3.041,1,1,1,0.991000,hdock_1,-0.707016,0.991000,0.148619,0.302261,high,1,1,1,1,1
DB5,holo,72,218,4IZ7,done,,3.680,1,1,1,0.978000,hdock_1,-0.747059,0.978000,0.243782,0.240952,high,1,1,1,1,1
DB5,holo,73,218,3A4S,done,,2.158,1,1,0,0.156000,hdock_1,-0.654454,0.156000,6.904034,7.368887,unacceptable,0,0,0,0,0
DB5,holo,74,218,3BP8,done,,6.935,1,1,1,0.977000,hdock_1,-0.717725,0.977000,0.215499,0.178538,high,1,1,1,1,1
DB5,holo,75,218,1JMO,done,,6.624,1,1,1,0.995000,hdock_1,-0.717180,0.995000,0.147045,0.183028,high,1,1,1,1,1
DB5,holo,76,218,1GRN,done,,3.371,1,1,1,0.990000,hdock_1,-0.708699,0.990000,0.253122,0.249799,high,1,1,1,1,1
DB5,holo,77,218,1MQ8,done,,3.119,1,1,0,0.012000,hdock_1,-0.659550,0.012000,12.939420,16.570004,unacceptable,0,0,0,0,0
DB5,,78,218,1FC2,error,'CA',0.000,,,,,,,,,,,,,,,
DB5,holo,79,218,1CGI,done,,2.580,1,1,1,0.994000,hdock_1,-0.682987,0.994000,0.154501,0.169142,high,1,1,1,1,1
DB5,holo,80,218,1TMQ,done,,4.748,1,1,1,0.988000,hdock_1,-0.740504,0.988000,0.286621,0.223048,high,1,1,1,1,1
DB5,holo,81,218,6B0S,done,,3.981,1,1,1,0.992000,hdock_1,-0.729149,0.992000,0.209473,0.164384,high,1,1,1,1,1
DB5,holo,82,218,3CPH,done,,5.229,1,1,1,0.984000,hdock_1,-0.681057,0.984000,0.290799,0.339211,high,1,1,1,1,1
DB5,holo,83,218,1A2K,done,,4.006,1,1,0,0.010000,hdock_1,-0.681192,0.010000,13.991611,21.214817,unacceptable,0,0,0,0,0
DB5,holo,84,218,4M5Z,done,,5.377,1,1,1,0.989000,hdock_1,-0.720134,0.989000,0.225107,0.243261,high,1,1,1,1,1
DB5,holo,85,218,2A1A,done,,3.683,1,1,0,0.007000,hdock_1,-0.806048,0.007000,21.497328,24.874823,unacceptable,0,0,0,0,0
DB5,holo,86,218,2MTA,done,,5.252,1,1,1,0.961000,hdock_1,-0.718897,0.961000,0.425720,0.447832,high,1,1,1,1,1
DB5,holo,87,218,1F6M,done,,3.935,1,1,1,0.991000,hdock_1,-0.696252,0.991000,0.221227,0.210999,high,1,1,1,1,1
DB5,holo,88,218,1JPS,done,,5.548,1,1,1,0.990000,hdock_1,-0.759235,0.990000,0.246481,0.221043,high,1,1,1,1,1
DB5,holo,89,218,1JWH,done,,6.868,1,1,0,0.018000,hdock_1,-0.769817,0.018000,23.810036,23.586605,unacceptable,0,0,0,0,0
DB5,holo,90,218,1S1Q,done,,2.011,1,1,0,0.021000,hdock_1,-0.712459,0.021000,14.246565,14.203808,unacceptable,0,0,0,0,0
DB5,holo,91,218,4FP8,done,,6.314,1,1,0,0.004000,hdock_1,-0.715691,0.004000,33.512226,33.920307,unacceptable,0,0,0,0,0
DB5,holo,92,218,4LW4,done,,8.008,1,1,0,0.005000,hdock_1,-0.815311,0.005000,31.479980,27.644817,unacceptable,0,0,0,0,0
DB5,holo,93,218,2OT3,done,,3.586,1,1,1,0.990000,hdock_1,-0.700276,0.990000,0.177193,0.215287,high,1,1,1,1,1
DB5,holo,94,218,1RLB,done,,5.671,1,1,0,0.006000,hdock_1,-0.687464,0.006000,19.619492,28.284241,unacceptable,0,0,0,0,0
DB5,holo,95,218,2O3B,done,,3.284,1,1,1,0.989000,hdock_1,-0.730774,0.989000,0.208971,0.289750,high,1,1,1,1,1
DB5,holo,96,218,2OOR,done,,7.794,1,1,1,0.996000,hdock_1,-0.717242,0.996000,0.159048,0.116758,high,1,1,1,1,1
DB5,holo,97,218,1GPW,done,,3.766,1,1,1,0.962000,hdock_1,-0.699302,0.962000,0.332533,0.480571,high,1,1,1,1,1
DB5,holo,98,218,1E4K,done,,5.583,1,1,0,0.011000,hdock_1,-0.765317,0.011000,19.891792,20.980824,unacceptable,0,0,0,0,0
DB5,holo,99,218,1ZHI,done,,2.966,1,1,1,0.989000,hdock_1,-0.693633,0.989000,0.146605,0.334743,high,1,1,1,1,1
DB5,holo,100,218,6EY6,done,,4.408,1,1,1,0.974000,hdock_1,-0.756569,0.974000,0.252313,0.310666,high,1,1,1,1,1
DB5,holo,101,218,1Y64,done,,6.297,1,1,1,0.907000,hdock_1,-0.781721,0.907000,0.634169,0.915244,high,1,1,1,1,1
DB5,holo,102,218,5GRJ,done,,3.924,1,1,1,0.967000,hdock_1,-0.708378,0.967000,0.308688,0.481281,high,1,1,1,1,1
DB5,holo,103,218,4H03,done,,6.548,1,1,0,0.043000,hdock_1,-0.706335,0.043000,14.925338,13.973145,unacceptable,0,0,0,0,0
DB5,holo,104,218,1EER,done,,5.068,1,1,1,0.985000,hdock_1,-0.684065,0.985000,0.193569,0.182557,high,1,1,1,1,1
DB5,,105,218,2IDO,error,'N',0.000,,,,,,,,,,,,,,,
DB5,holo,106,218,1S78,done,,8.400,1,1,1,0.977000,hdock_1,-0.710362,0.977000,0.311877,0.549159,high,1,1,1,1,1
DB5,holo,107,218,1SYX,done,,2.109,1,1,1,0.987000,hdock_1,-0.789115,0.987000,0.269281,0.262837,high,1,1,1,1,1
DB5,holo,108,218,2GTP,done,,3.636,1,1,0,0.015000,hdock_1,-0.632846,0.015000,16.158089,18.649054,unacceptable,0,0,0,0,0
DB5,holo,109,218,1DQJ,done,,4.636,1,1,1,0.989000,hdock_1,-0.728580,0.989000,0.261672,0.266699,high,1,1,1,1,1
DB5,holo,110,218,5CBA,done,,2.739,1,1,1,0.960000,hdock_1,-0.689420,0.960000,0.265842,0.377849,high,1,1,1,1,1
DB5,holo,111,218,4DN4,done,,3.985,1,1,1,0.981000,hdock_1,-0.670968,0.981000,0.319523,0.246962,high,1,1,1,1,1
DB5,holo,112,218,3AAD,done,,3.563,1,1,1,0.531000,hdock_1,-0.679020,0.531000,2.818973,2.913350,medium,1,1,1,1,1
DB5,holo,113,218,2HRK,done,,2.498,1,1,1,0.991000,hdock_1,-0.645660,0.991000,0.210327,0.227631,high,1,1,1,1,1
DB5,holo,114,218,2A5T,done,,4.527,1,1,1,0.993000,hdock_1,-0.679163,0.993000,0.198706,0.199755,high,1,1,1,1,1
DB5,holo,115,218,3WD5,done,,7.898,1,1,1,0.988000,hdock_1,-0.682557,0.988000,0.240421,0.317450,high,1,1,1,1,1
DB5,,116,218,6AL0,error,'N',0.000,,,,,,,,,,,,,,,
DB5,holo,117,218,1JK9,done,,3.302,1,1,1,0.983000,hdock_1,-0.676698,0.983000,0.202935,0.260212,high,1,1,1,1,1
DB5,holo,118,218,1WEJ,done,,4.731,1,1,1,0.977000,hdock_1,-0.833699,0.977000,0.337713,0.430712,high,1,1,1,1,1
DB5,holo,119,218,1AZS,done,,6.479,1,1,1,0.934000,hdock_1,-0.715964,0.934000,0.482511,0.864398,high,1,1,1,1,1
DB5,holo,120,218,1GCQ,done,,1.201,1,1,1,0.981000,hdock_1,-0.688032,0.981000,0.202761,0.319486,high,1,1,1,1,1
DB5,holo,121,218,1BVN,done,,4.866,1,1,1,0.968000,hdock_1,-0.727939,0.968000,0.352080,0.268635,high,1,1,1,1,1
DB5,holo,122,218,2DD8,done,,5.447,1,1,1,0.945000,hdock_1,-0.694950,0.945000,0.380740,0.586045,high,1,1,1,1,1
DB5,holo,123,218,2OOB,done,,1.373,1,1,0,0.076000,hdock_1,-0.655330,0.076000,9.199056,10.187275,unacceptable,0,0,0,0,0
DB5,holo,124,218,6CWG,done,,3.275,1,1,0,0.006000,hdock_1,-0.700969,0.006000,29.470787,24.735439,unacceptable,0,0,0,0,0
DB5,holo,125,218,5C7X,done,,4.551,1,1,1,0.970000,hdock_1,-0.681485,0.970000,0.373169,0.378428,high,1,1,1,1,1
DB5,holo,126,218,4ETQ,done,,5.729,1,1,1,0.985000,hdock_1,-0.687806,0.985000,0.293398,0.327637,high,1,1,1,1,1
DB5,holo,127,218,2ABZ,done,,3.290,1,1,1,0.955000,hdock_1,-0.701284,0.955000,0.350859,0.383685,high,1,1,1,1,1
DB5,holo,128,218,3BIW,done,,5.823,1,1,0,0.009000,hdock_1,-0.716343,0.009000,15.165099,21.061918,unacceptable,0,0,0,0,0
DB5,holo,129,218,5X0T,done,,4.337,1,1,1,0.941000,hdock_1,-0.746308,0.941000,0.306202,0.509601,high,1,1,1,1,1
DB5,holo,130,218,6BPC,done,,6.365,1,1,0,0.015000,hdock_1,-0.707193,0.015000,20.588951,25.500935,unacceptable,0,0,0,0,0
DB5,holo,131,218,2AYO,done,,3.581,1,1,1,0.990000,hdock_1,-0.724472,0.990000,0.168678,0.121315,high,1,1,1,1,1
DB5,holo,132,218,1FFW,done,,1.824,1,1,1,0.988000,hdock_1,-0.698247,0.988000,0.193597,0.267719,high,1,1,1,1,1
DB5,holo,133,218,1DFJ,done,,4.606,1,1,1,0.978000,hdock_1,-0.718974,0.978000,0.255418,0.234644,high,1,1,1,1,1
DB5,,134,218,1IBR,error,'CA',0.000,,,,,,,,,,,,,,,
DB5,holo,135,218,1XD3,done,,2.706,1,1,1,0.997000,hdock_1,-0.732915,0.997000,0.127343,0.120272,high,1,1,1,1,1
DB5,holo,136,218,4M76,done,,4.035,1,1,0,0.007000,hdock_1,-0.697977,0.007000,27.451872,22.289066,unacceptable,0,0,0,0,0
DB5,,137,218,3L89,error,'N',0.000,,,,,,,,,,,,,,,
DB5,holo,138,218,2A9K,done,,3.251,1,1,1,0.992000,hdock_1,-0.730226,0.992000,0.225081,0.226019,high,1,1,1,1,1
DB5,holo,139,218,1B6C,done,,3.644,1,1,1,0.967000,hdock_1,-0.712912,0.967000,0.376287,0.383554,high,1,1,1,1,1
DB5,holo,140,218,3DAW,done,,4.429,1,1,1,0.995000,hdock_1,-0.702986,0.995000,0.143658,0.170316,high,1,1,1,1,1
DB5,holo,141,218,2SNI,done,,2.814,1,1,1,0.996000,hdock_1,-0.743944,0.996000,0.177746,0.127206,high,1,1,1,1,1
DB5,holo,142,218,5VNW,done,,5.787,1,1,0,0.006000,hdock_1,-0.785213,0.006000,25.886583,25.198900,unacceptable,0,0,0,0,0
DB5,holo,143,218,3D5S,done,,3.166,1,1,0,0.011000,hdock_1,-0.717502,0.011000,17.698963,18.276861,unacceptable,0,0,0,0,0
DB5,holo,144,218,1ZHH,done,,4.738,1,1,1,0.978000,hdock_1,-0.697473,0.978000,0.318338,0.365180,high,1,1,1,1,1
DB5,holo,145,218,1FAK,done,,4.754,1,1,1,0.974000,hdock_1,-0.702199,0.974000,0.321290,0.260742,high,1,1,1,1,1
DB5,holo,146,218,1CLV,done,,4.139,1,1,1,0.967000,hdock_1,-0.720884,0.967000,0.405424,0.190154,high,1,1,1,1,1
DB5,holo,147,218,3U7Y,done,,6.787,1,1,1,0.984000,hdock_1,-0.729665,0.984000,0.191413,0.297145,high,1,1,1,1,1
DB5,holo,148,218,1HE1,done,,2.655,1,1,1,0.983000,hdock_1,-0.689093,0.983000,0.232333,0.265568,high,1,1,1,1,1
DB5,holo,149,218,1OC0,done,,3.543,1,1,1,0.989000,hdock_1,-0.685875,0.989000,0.195486,0.173439,high,1,1,1,1,1
DB5,holo,150,218,4DW2,done,,5.744,1,1,1,0.911000,hdock_1,-0.700553,0.911000,0.320636,0.842211,high,1,1,1,1,1
DB5,holo,151,218,3AAA,done,,5.601,1,1,1,0.973000,hdock_1,-0.705518,0.973000,0.333742,0.353700,high,1,1,1,1,1
DB5,holo,152,218,1EWY,done,,3.519,1,1,0,0.056000,hdock_1,-0.705118,0.056000,10.664213,10.142116,unacceptable,0,0,0,0,0
DB5,holo,153,218,3L5W,done,,4.568,1,1,1,0.987000,hdock_1,-0.746537,0.987000,0.185017,0.285862,high,1,1,1,1,1
DB5,holo,154,218,1VFB,done,,3.230,1,1,0,0.063000,hdock_1,-0.734246,0.063000,11.001385,12.863575,unacceptable,0,0,0,0,0
DB5,holo,155,218,3VLB,done,,5.149,1,1,1,0.967000,hdock_1,-0.697798,0.967000,0.301338,0.464115,high,1,1,1,1,1
DB5,holo,156,218,1MAH,done,,5.093,1,1,1,0.965000,hdock_1,-0.726049,0.965000,0.357053,0.250280,high,1,1,1,1,1
DB5,holo,157,218,5O14,done,,5.591,1,1,1,0.977000,hdock_1,-0.738837,0.977000,0.240171,0.468564,high,1,1,1,1,1
DB5,holo,158,218,1J2J,done,,2.034,1,1,1,0.974000,hdock_1,-0.679146,0.974000,0.338201,0.338039,high,1,1,1,1,1
DB5,holo,159,218,1WQ1,done,,4.152,1,1,1,0.991000,hdock_1,-0.738523,0.991000,0.193782,0.244916,high,1,1,1,1,1
DB5,holo,160,218,1BKD,done,,5.420,1,1,1,0.986000,hdock_1,-0.736613,0.986000,0.305268,0.285007,high,1,1,1,1,1
DB5,holo,161,218,4FZA,done,,5.029,1,1,0,0.010000,hdock_1,-0.715935,0.010000,25.755367,24.581116,unacceptable,0,0,0,0,0
DB5,holo,162,218,2VDB,done,,5.065,1,1,1,0.993000,hdock_1,-0.725814,0.993000,0.207116,0.122867,high,1,1,1,1,1
DB5,holo,163,218,1T6B,done,,7.135,1,1,1,0.949000,hdock_1,-0.737355,0.949000,0.330622,0.568230,high,1,1,1,1,1
DB5,holo,164,218,2PCC,done,,3.762,1,1,0,0.011000,hdock_1,-0.685985,0.011000,22.221474,17.767313,unacceptable,0,0,0,0,0
DB5,holo,165,218,4G6J,done,,4.717,1,1,1,0.989000,hdock_1,-0.707717,0.989000,0.286906,0.207387,high,1,1,1,1,1
DB5,holo,166,218,1GXD,done,,7.128,1,1,1,0.958000,hdock_1,-0.787279,0.958000,0.331957,0.527559,high,1,1,1,1,1
DB5,holo,167,218,1QA9,done,,1.908,1,1,0,0.013000,hdock_1,-0.686141,0.013000,19.393147,17.197268,unacceptable,0,0,0,0,0
DB5,holo,168,218,1GL1,done,,2.171,1,1,1,0.969000,hdock_1,-0.744428,0.969000,0.276947,0.306479,high,1,1,1,1,1
DB5,holo,169,218,3BX7,done,,2.613,1,1,1,0.990000,hdock_1,-0.696074,0.990000,0.255936,0.243397,high,1,1,1,1,1
DB5,holo,170,218,2NZ8,done,,3.840,1,1,1,0.984000,hdock_1,-0.721663,0.984000,0.247289,0.268160,high,1,1,1,1,1
DB5,holo,171,218,1H9D,done,,2.382,1,1,1,0.988000,hdock_1,-0.668505,0.988000,0.162845,0.247372,high,1,1,1,1,1
DB5,holo,172,218,1Z0K,done,,2.060,1,1,1,0.988000,hdock_1,-0.652317,0.988000,0.232127,0.249148,high,1,1,1,1,1
DB5,holo,173,218,1JTD,done,,4.218,1,1,1,0.985000,hdock_1,-0.692464,0.985000,0.248463,0.239553,high,1,1,1,1,1
DB5,holo,174,218,1E6E,done,,4.696,1,1,1,0.968000,hdock_1,-0.666542,0.968000,0.323136,0.291438,high,1,1,1,1,1
DB5,holo,175,218,1AKJ,done,,5.334,1,1,1,0.978000,hdock_1,-0.704956,0.978000,0.215083,0.256558,high,1,1,1,1,1
DB5,holo,176,218,2O8V,done,,2.936,1,1,1,0.976000,hdock_1,-0.651979,0.976000,0.261096,0.399720,high,1,1,1,1,1
DB5,holo,177,218,5JMO,done,,4.819,1,1,0,0.010000,hdock_1,-0.749803,0.010000,18.356934,18.198629,unacceptable,0,0,0,0,0
DB5,holo,178,218,4Y7M,done,,3.119,1,1,1,0.930000,hdock_1,-0.758698,0.930000,0.457709,0.723075,high,1,1,1,1,1
DB5,holo,179,218,3SZK,done,,3.650,1,1,0,0.015000,hdock_1,-0.709276,0.015000,13.662432,17.883547,unacceptable,0,0,0,0,0
DB5,holo,180,218,3HI6,done,,5.247,1,1,1,0.987000,hdock_1,-0.758061,0.987000,0.227995,0.295128,high,1,1,1,1,1
DB5,,181,218,1US7,error,'CA',0.000,,,,,,,,,,,,,,,
DB5,holo,182,218,5E5M,done,,2.085,1,1,1,0.995000,hdock_1,-0.778093,0.995000,0.201878,0.158372,high,1,1,1,1,1
DB5,holo,183,218,3MJ9,done,,5.654,1,1,1,0.931000,hdock_1,-0.708417,0.931000,0.594005,0.737795,high,1,1,1,1,1
DB5,holo,184,218,1KTZ,done,,1.834,1,1,0,0.017000,hdock_1,-0.708042,0.017000,15.436779,17.959536,unacceptable,0,0,0,0,0
DB5,holo,185,218,1GHQ,done,,3.642,1,1,0,0.011000,hdock_1,-0.672606,0.011000,12.641092,19.477068,unacceptable,0,0,0,0,0
DB5,holo,186,218,4HX3,done,,3.136,1,1,0,0.011000,hdock_1,-0.700546,0.011000,15.852792,20.701675,unacceptable,0,0,0,0,0
DB5,holo,187,218,3EOA,done,,5.145,1,1,1,0.993000,hdock_1,-0.691327,0.993000,0.151632,0.230567,high,1,1,1,1,1
DB5,holo,188,218,1K5D,done,,6.307,1,1,1,0.983000,hdock_1,-0.731782,0.983000,0.382326,0.302148,high,1,1,1,1,1
DB5,holo,189,218,1AY7,done,,1.775,1,1,1,0.971000,hdock_1,-0.673952,0.971000,0.186715,0.458471,high,1,1,1,1,1
