target_index,target_total,target,model_order,pdb_model_id,csv_model,pdb_id,score,predicted_fnat,dockq,fnat,lrms,irms,classification,identification
1,113,S-T024.1,8,343,8,S-T024.1_model_7,1.013,1.013,0.0125,0.0,54.1373,12.8993,incorrect,T24_S02.M08
1,113,S-T024.1,9,344,9,S-T024.1_model_8,0.558,0.558,0.0105,0.0,56.1795,15.6133,incorrect,T24_S02.M09
1,113,S-T024.1,10,345,10,S-T024.1_model_9,0.907,0.907,0.0109,0.0,54.849,15.5366,incorrect,T24_S02.M10
2,113,S-T025.1,1,337,1,S-T025.1_model_0,0.358,0.358,0.0387,0.0385,31.8234,14.1842,incorrect,T25_S01.M01
2,113,S-T025.1,2,338,2,S-T025.1_model_1,1.792,1.792,0.0118,0.0,55.765,13.2405,incorrect,T25_S01.M02
2,113,S-T025.1,11,347,1,S-T025.1_model_10,1.144,1.144,0.4665,0.6346,7.9828,2.7174,acceptable,T25_S02.M01
2,113,S-T025.1,12,348,2,S-T025.1_model_11,1.209,1.209,0.3799,0.3654,6.6434,3.5219,acceptable,T25_S02.M02
2,113,S-T025.1,13,349,3,S-T025.1_model_12,0.937,0.937,0.0428,0.0769,40.7639,15.0918,incorrect,T25_S02.M03
2,113,S-T025.1,14,350,4,S-T025.1_model_13,1.115,1.115,0.1965,0.25,13.6207,5.9759,incorrect,T25_S02.M04
2,113,S-T025.1,15,351,5,S-T025.1_model_14,1.042,1.042,0.0469,0.0577,30.9642,13.0615,incorrect,T25_S02.M05
2,113,S-T025.1,16,352,6,S-T025.1_model_15,0.739,0.739,0.0435,0.0577,32.6638,15.46,incorrect,T25_S02.M06
2,113,S-T025.1,17,353,7,S-T025.1_model_16,0.973,0.973,0.3894,0.5385,9.5516,3.1202,acceptable,T25_S02.M07
2,113,S-T025.1,18,354,8,S-T025.1_model_17,0.843,0.843,0.0176,0.0,43.2989,11.8385,incorrect,T25_S02.M08
2,113,S-T025.1,19,355,9,S-T025.1_model_18,0.969,0.969,0.0411,0.0,26.688,8.3442,incorrect,T25_S02.M09
2,113,S-T025.1,20,356,10,S-T025.1_model_19,0.706,0.706,0.0134,0.0,51.6721,12.5883,incorrect,T25_S02.M10
2,113,S-T025.1,3,339,3,S-T025.1_model_2,0.946,0.946,0.0115,0.0,56.4375,13.5017,incorrect,T25_S01.M03
2,113,S-T025.1,21,357,1,S-T025.1_model_20,1.045,1.045,0.0469,0.0577,30.9662,13.0623,incorrect,T25_S03.M01
2,113,S-T025.1,22,358,2,S-T025.1_model_21,1.207,1.207,0.6641,0.7115,3.7071,1.6903,medium,T25_S03.M02
2,113,S-T025.1,23,359,3,S-T025.1_model_22,0.829,0.829,0.0425,0.0769,41.1098,15.1476,incorrect,T25_S03.M03
2,113,S-T025.1,24,360,4,S-T025.1_model_23,1.077,1.077,0.4678,0.5577,6.9573,2.6204,acceptable,T25_S03.M04
2,113,S-T025.1,25,361,5,S-T025.1_model_24,1.038,1.038,0.3557,0.4231,8.9697,3.3053,acceptable,T25_S03.M05
2,113,S-T025.1,26,362,6,S-T025.1_model_25,1.145,1.145,0.4665,0.6346,7.9829,2.7174,acceptable,T25_S03.M06
2,113,S-T025.1,27,363,7,S-T025.1_model_26,1.021,1.021,0.3922,0.4231,6.9782,3.487,acceptable,T25_S03.M07
2,113,S-T025.1,28,364,8,S-T025.1_model_27,1.327,1.327,0.5628,0.5577,3.9123,2.2613,medium,T25_S03.M08
2,113,S-T025.1,29,365,9,S-T025.1_model_28,1.197,1.197,0.0156,0.0,46.7661,12.2177,incorrect,T25_S03.M09
2,113,S-T025.1,30,366,10,S-T025.1_model_29,0.725,0.725,0.0435,0.0577,32.6644,15.46,incorrect,T25_S03.M10
2,113,S-T025.1,4,340,4,S-T025.1_model_3,1.292,1.292,0.1072,0.1731,21.9956,10.8943,incorrect,T25_S01.M04
2,113,S-T025.1,31,367,1,S-T025.1_model_30,1.157,1.157,0.0386,0.0,25.2578,12.5177,incorrect,T25_S05.M01
2,113,S-T025.1,32,368,2,S-T025.1_model_31,1.015,1.015,0.0281,0.0,29.4533,17.2782,incorrect,T25_S05.M02
2,113,S-T025.1,33,369,3,S-T025.1_model_32,1.227,1.227,0.266,0.2692,11.0705,3.4624,acceptable,T25_S05.M03
2,113,S-T025.1,34,370,4,S-T025.1_model_33,1.087,1.087,0.2733,0.3077,11.7436,3.3331,acceptable,T25_S05.M04
2,113,S-T025.1,35,371,5,S-T025.1_model_34,0.906,0.906,0.0105,0.0,54.5727,16.9047,incorrect,T25_S05.M05
2,113,S-T025.1,36,372,6,S-T025.1_model_35,1.189,1.189,0.5489,0.6346,5.3624,2.3091,acceptable,T25_S05.M06
2,113,S-T025.1,37,373,7,S-T025.1_model_36,1.108,1.108,0.0236,0.0,33.0207,15.9374,incorrect,T25_S05.M07
2,113,S-T025.1,38,374,8,S-T025.1_model_37,1.063,1.063,0.2546,0.2308,10.4145,3.8273,acceptable,T25_S05.M08
2,113,S-T025.1,39,375,9,S-T025.1_model_38,1.227,1.227,0.7381,0.8462,3.9141,1.3756,medium,T25_S05.M09
2,113,S-T025.1,40,376,10,S-T025.1_model_39,1.398,1.398,0.8286,0.9231,2.6004,1.1045,medium,T25_S05.M10
2,113,S-T025.1,5,341,5,S-T025.1_model_4,1.019,1.019,0.0096,0.0,55.3839,19.5389,incorrect,T25_S01.M05
2,113,S-T025.1,41,377,1,S-T025.1_model_40,1.982,1.982,0.0586,0.0962,31.4932,13.6985,incorrect,T25_S06.M01
2,113,S-T025.1,42,378,2,S-T025.1_model_41,1.61,1.61,0.0193,0.0,42.1101,10.8236,incorrect,T25_S06.M02
2,113,S-T025.1,43,379,3,S-T025.1_model_42,1.448,1.448,0.0782,0.0962,22.6962,12.0185,incorrect,T25_S06.M03
2,113,S-T025.1,44,380,4,S-T025.1_model_43,1.354,1.354,0.0136,0.0,45.808,17.3574,incorrect,T25_S06.M04
2,113,S-T025.1,45,381,5,S-T025.1_model_44,1.231,1.231,0.0302,0.0385,44.2276,11.5436,incorrect,T25_S06.M05
2,113,S-T025.1,46,382,6,S-T025.1_model_45,1.108,1.108,0.0236,0.0,33.0207,15.9374,incorrect,T25_S06.M06
2,113,S-T025.1,47,383,7,S-T025.1_model_46,1.145,1.145,0.4665,0.6346,7.9829,2.7174,acceptable,T25_S06.M07
2,113,S-T025.1,48,384,8,S-T025.1_model_47,1.197,1.197,0.0156,0.0,46.766,12.2177,incorrect,T25_S06.M08
2,113,S-T025.1,49,385,9,S-T025.1_model_48,1.174,1.174,0.0136,0.0,45.5097,17.9373,incorrect,T25_S06.M09
2,113,S-T025.1,50,386,10,S-T025.1_model_49,1.281,1.281,0.0171,0.0,40.3649,15.9936,incorrect,T25_S06.M10
2,113,S-T025.1,6,342,6,S-T025.1_model_5,1.982,1.982,0.0586,0.0962,31.4932,13.6985,incorrect,T25_S01.M06
2,113,S-T025.1,51,387,1,S-T025.1_model_50,0.855,0.855,0.0163,0.0,41.2605,16.5275,incorrect,T25_S07.M01
2,113,S-T025.1,52,388,2,S-T025.1_model_51,0.785,0.785,0.0102,0.0,53.6136,19.4053,incorrect,T25_S07.M02
2,113,S-T025.1,53,389,3,S-T025.1_model_52,0.617,0.617,0.0122,0.0,47.8594,19.114,incorrect,T25_S07.M03
2,113,S-T025.1,54,390,4,S-T025.1_model_53,1.143,1.143,0.4665,0.6346,7.9829,2.7174,acceptable,T25_S07.M04
2,113,S-T025.1,55,391,5,S-T025.1_model_54,1.012,1.012,0.314,0.3846,9.2454,4.5164,acceptable,T25_S07.M05
2,113,S-T025.1,56,392,6,S-T025.1_model_55,0.963,0.963,0.0131,0.0,50.5222,13.6876,incorrect,T25_S07.M06
2,113,S-T025.1,57,393,7,S-T025.1_model_56,0.653,0.653,0.0137,0.0,45.0426,18.224,incorrect,T25_S07.M07
2,113,S-T025.1,58,394,8,S-T025.1_model_57,1.166,1.166,0.6793,0.7308,3.4913,1.6536,medium,T25_S07.M08
2,113,S-T025.1,59,395,9,S-T025.1_model_58,0.75,0.75,0.0088,0.0,58.6538,19.7109,incorrect,T25_S07.M09
2,113,S-T025.1,60,396,10,S-T025.1_model_59,1.12,1.12,0.3509,0.4423,9.825,3.1779,acceptable,T25_S07.M10
2,113,S-T025.1,7,343,7,S-T025.1_model_6,1.277,1.277,0.0507,0.0,21.4124,11.745,incorrect,T25_S01.M07
2,113,S-T025.1,8,344,8,S-T025.1_model_7,1.104,1.104,0.3467,0.4808,10.014,3.7081,acceptable,T25_S01.M08
2,113,S-T025.1,9,345,9,S-T025.1_model_8,1.472,1.472,0.0113,0.0,56.9115,13.5125,incorrect,T25_S01.M09
2,113,S-T025.1,10,346,10,S-T025.1_model_9,1.227,1.227,0.7381,0.8462,3.9141,1.3756,medium,T25_S01.M10
3,113,S-T026.1,1,352,1,S-T026.1_model_0,0.031,0.031,0.018,0.0,51.706,8.8755,incorrect,T26_S01.M01
3,113,S-T026.1,2,353,2,S-T026.1_model_1,0.668,0.668,0.0743,0.0323,27.3984,4.4286,incorrect,T26_S01.M02
3,113,S-T026.1,11,362,1,S-T026.1_model_10,1.223,1.223,0.4321,0.2151,7.6827,1.4104,acceptable,T26_S02.M01
3,113,S-T026.1,12,363,2,S-T026.1_model_11,1.267,1.267,0.7067,0.5484,3.8327,0.8873,high,T26_S02.M02
3,113,S-T026.1,13,364,3,S-T026.1_model_12,1.939,1.939,0.7098,0.5484,3.8113,0.8697,high,T26_S02.M03
3,113,S-T026.1,14,365,4,S-T026.1_model_13,0.973,0.973,0.6186,0.4194,5.0974,0.9802,medium,T26_S02.M04
3,113,S-T026.1,15,366,5,S-T026.1_model_14,1.174,1.174,0.6291,0.4409,4.8835,0.9946,medium,T26_S02.M05
3,113,S-T026.1,16,367,6,S-T026.1_model_15,1.49,1.49,0.2395,0.0753,12.4818,2.1546,incorrect,T26_S02.M06
3,113,S-T026.1,17,368,7,S-T026.1_model_16,1.296,1.296,0.193,0.0538,14.4359,2.4808,incorrect,T26_S02.M07
3,113,S-T026.1,18,369,8,S-T026.1_model_17,1.386,1.386,0.1939,0.043,14.2071,2.4352,incorrect,T26_S02.M08
3,113,S-T026.1,19,370,9,S-T026.1_model_18,1.059,1.059,0.4291,0.2043,7.781,1.3877,acceptable,T26_S02.M09
3,113,S-T026.1,20,371,10,S-T026.1_model_19,1.219,1.219,0.2564,0.0968,12.0503,2.0894,incorrect,T26_S02.M10
3,113,S-T026.1,3,354,3,S-T026.1_model_2,1.564,1.564,0.0173,0.0,53.6063,8.936,incorrect,T26_S01.M03
3,113,S-T026.1,21,372,1,S-T026.1_model_20,1.307,1.307,0.1482,0.0108,16.8817,2.7329,incorrect,T26_S03.M01
3,113,S-T026.1,22,373,2,S-T026.1_model_21,1.818,1.818,0.109,0.0,19.837,3.2934,incorrect,T26_S03.M02
3,113,S-T026.1,23,374,3,S-T026.1_model_22,1.407,1.407,0.1894,0.0323,14.2602,2.4431,incorrect,T26_S03.M03
3,113,S-T026.1,24,375,4,S-T026.1_model_23,1.53,1.53,0.3914,0.2043,8.655,1.5648,acceptable,T26_S03.M04
3,113,S-T026.1,25,376,5,S-T026.1_model_24,1.195,1.195,0.2463,0.0538,11.8752,2.061,incorrect,T26_S03.M05
3,113,S-T026.1,26,377,6,S-T026.1_model_25,1.716,1.716,0.7052,0.5376,3.9034,0.8607,high,T26_S03.M06
3,113,S-T026.1,27,378,7,S-T026.1_model_26,1.428,1.428,0.6782,0.4731,3.9618,0.8894,medium,T26_S03.M07
3,113,S-T026.1,28,379,8,S-T026.1_model_27,1.299,1.299,0.167,0.0323,15.6289,2.6666,incorrect,T26_S03.M08
3,113,S-T026.1,29,380,9,S-T026.1_model_28,1.187,1.187,0.4072,0.0323,6.8469,1.2687,incorrect,T26_S03.M09
3,113,S-T026.1,30,381,10,S-T026.1_model_29,1.672,1.672,0.2701,0.1183,11.7581,2.0502,acceptable,T26_S03.M10
3,113,S-T026.1,4,355,4,S-T026.1_model_3,1.823,1.823,0.0189,0.0,50.6687,8.6181,incorrect,T26_S01.M04
3,113,S-T026.1,31,382,1,S-T026.1_model_30,0.536,0.536,0.139,0.0323,17.9831,2.9797,incorrect,T26_S04.M01
3,113,S-T026.1,32,383,2,S-T026.1_model_31,0.786,0.786,0.1671,0.0323,16.0078,2.6051,incorrect,T26_S04.M02
3,113,S-T026.1,33,384,3,S-T026.1_model_32,0.742,0.742,0.1012,0.0,21.1122,3.3835,incorrect,T26_S04.M03
3,113,S-T026.1,34,385,4,S-T026.1_model_33,0.649,0.649,0.075,0.0,25.0208,4.0313,incorrect,T26_S04.M04
3,113,S-T026.1,35,386,5,S-T026.1_model_34,0.552,0.552,0.1617,0.0,15.4901,2.5737,incorrect,T26_S04.M05
3,113,S-T026.1,36,387,1,S-T026.1_model_35,1.399,1.399,0.1885,0.0108,13.874,2.3939,incorrect,T26_S06.M01
3,113,S-T026.1,37,388,2,S-T026.1_model_36,1.585,1.585,0.1473,0.0,16.6332,2.708,incorrect,T26_S06.M02
3,113,S-T026.1,38,389,3,S-T026.1_model_37,1.225,1.225,0.2772,0.086,11.0924,1.9335,incorrect,T26_S06.M03
3,113,S-T026.1,39,390,4,S-T026.1_model_38,1.072,1.072,0.1958,0.0323,13.9544,2.3795,incorrect,T26_S06.M04
3,113,S-T026.1,40,391,5,S-T026.1_model_39,1.356,1.356,0.6958,0.5161,3.822,0.8902,high,T26_S06.M05
3,113,S-T026.1,5,356,5,S-T026.1_model_4,1.481,1.481,0.0192,0.0,49.6433,8.6429,incorrect,T26_S01.M05
3,113,S-T026.1,41,392,6,S-T026.1_model_40,1.842,1.842,0.425,0.2581,8.2492,1.4944,acceptable,T26_S06.M06
3,113,S-T026.1,42,393,7,S-T026.1_model_41,1.174,1.174,0.6096,0.5054,5.7405,1.1329,medium,T26_S06.M07
3,113,S-T026.1,43,394,8,S-T026.1_model_42,1.538,1.538,0.5757,0.3871,5.6037,1.118,medium,T26_S06.M08
3,113,S-T026.1,44,395,9,S-T026.1_model_43,1.104,1.104,0.6413,0.5161,5.1378,1.0399,medium,T26_S06.M09
3,113,S-T026.1,45,396,10,S-T026.1_model_44,1.352,1.352,0.2398,0.0645,12.3171,2.1265,incorrect,T26_S06.M10
3,113,S-T026.1,46,397,1,S-T026.1_model_45,0.935,0.935,0.219,0.0645,13.2454,2.2877,incorrect,T26_S07.M01
3,113,S-T026.1,47,398,2,S-T026.1_model_46,0.921,0.921,0.0237,0.0,46.4952,7.485,incorrect,T26_S07.M02
3,113,S-T026.1,48,399,3,S-T026.1_model_47,1.14,1.14,0.388,0.1183,7.5558,1.5388,acceptable,T26_S07.M03
3,113,S-T026.1,49,400,4,S-T026.1_model_48,1.219,1.219,0.2564,0.0968,12.0503,2.0894,incorrect,T26_S07.M04
3,113,S-T026.1,50,401,5,S-T026.1_model_49,0.858,0.858,0.4248,0.2043,7.8547,1.4105,acceptable,T26_S07.M05
3,113,S-T026.1,6,357,6,S-T026.1_model_5,1.597,1.597,0.0179,0.0,51.2626,9.0169,incorrect,T26_S01.M06
3,113,S-T026.1,51,402,6,S-T026.1_model_50,0.751,0.751,0.2352,0.0538,12.01,2.1969,incorrect,T26_S07.M06
3,113,S-T026.1,52,403,7,S-T026.1_model_51,1.004,1.004,0.1163,0.0,18.9951,3.1792,incorrect,T26_S07.M07
3,113,S-T026.1,53,404,8,S-T026.1_model_52,0.956,0.956,0.0168,0.0,54.6772,9.0128,incorrect,T26_S07.M08
3,113,S-T026.1,54,405,9,S-T026.1_model_53,1.155,1.155,0.0168,0.0,55.1008,8.9918,incorrect,T26_S07.M09
3,113,S-T026.1,55,406,10,S-T026.1_model_54,0.949,0.949,0.0191,0.0,51.2463,8.4688,incorrect,T26_S07.M10
3,113,S-T026.1,56,407,1,S-T026.1_model_55,1.852,1.852,0.402,0.1935,7.6488,1.6254,acceptable,T26_S09.M01
3,113,S-T026.1,57,408,2,S-T026.1_model_56,1.422,1.422,0.5727,0.4624,5.7127,1.3113,medium,T26_S09.M02
3,113,S-T026.1,58,409,3,S-T026.1_model_57,1.055,1.055,0.604,0.4301,2.6969,1.5826,medium,T26_S09.M03
3,113,S-T026.1,59,410,4,S-T026.1_model_58,1.628,1.628,0.2935,0.043,9.9236,1.7833,incorrect,T26_S09.M04
3,113,S-T026.1,60,411,5,S-T026.1_model_59,1.298,1.298,0.3905,0.2043,8.6724,1.5698,acceptable,T26_S09.M05
3,113,S-T026.1,7,358,7,S-T026.1_model_6,1.466,1.466,0.0216,0.0,47.4237,8.0302,incorrect,T26_S01.M07
3,113,S-T026.1,61,412,6,S-T026.1_model_60,0.876,0.876,0.7634,0.5161,2.0201,0.6844,high,T26_S09.M06
3,113,S-T026.1,62,413,7,S-T026.1_model_61,1.366,1.366,0.3695,0.1828,9.0565,1.634,acceptable,T26_S09.M07
3,113,S-T026.1,63,414,8,S-T026.1_model_62,1.177,1.177,0.3742,0.1828,8.9253,1.6117,acceptable,T26_S09.M08
3,113,S-T026.1,64,415,9,S-T026.1_model_63,1.227,1.227,0.4415,0.2473,7.1357,1.5287,acceptable,T26_S09.M09
3,113,S-T026.1,65,416,10,S-T026.1_model_64,1.111,1.111,0.6907,0.5054,3.8808,0.891,high,T26_S09.M10
3,113,S-T026.1,8,359,8,S-T026.1_model_7,1.754,1.754,0.0194,0.0,49.8806,8.5155,incorrect,T26_S01.M08
3,113,S-T026.1,9,360,9,S-T026.1_model_8,1.859,1.859,0.0166,0.0,54.5197,9.1758,incorrect,T26_S01.M09
3,113,S-T026.1,10,361,10,S-T026.1_model_9,1.666,1.666,0.017,0.0,53.0941,9.1568,incorrect,T26_S01.M10
4,113,S-T029.1,1,382,1,S-T029.1_model_0,0.019,0.019,0.0145,0.0,43.8915,17.4844,incorrect,T29_S01.M01
4,113,S-T029.1,2,383,2,S-T029.1_model_1,1.104,1.104,0.7244,0.6735,2.6815,1.2501,medium,T29_S01.M02
4,113,S-T029.1,11,392,1,S-T029.1_model_10,2.546,2.546,0.0055,0.0,76.8467,22.6816,incorrect,T29_S02.M01
4,113,S-T029.1,101,482,6,S-T029.1_model_100,0.744,0.744,0.4527,0.3953,5.7584,2.4216,acceptable,T29_S12.M06
4,113,S-T029.1,102,483,7,S-T029.1_model_101,1.474,1.474,0.0405,0.0,24.9833,11.2018,incorrect,T29_S12.M07
4,113,S-T029.1,103,484,8,S-T029.1_model_102,1.006,1.006,0.0387,0.0,25.4541,11.8374,incorrect,T29_S12.M08
4,113,S-T029.1,104,485,9,S-T029.1_model_103,0.992,0.992,0.5968,0.5918,4.4136,1.796,medium,T29_S12.M09
4,113,S-T029.1,105,486,10,S-T029.1_model_104,1.067,1.067,0.53,0.551,6.8759,1.7107,medium,T29_S12.M10
4,113,S-T029.1,106,487,1,S-T029.1_model_105,1.152,1.152,0.0151,0.0,46.2169,13.3523,incorrect,T29_S14.M01
4,113,S-T029.1,107,488,2,S-T029.1_model_106,1.974,1.974,0.0219,0.0,34.622,15.9599,incorrect,T29_S14.M02
4,113,S-T029.1,108,489,3,S-T029.1_model_107,2.529,2.529,0.0055,0.0,76.8467,22.6816,incorrect,T29_S14.M03
4,113,S-T029.1,109,490,4,S-T029.1_model_108,1.892,1.892,0.0075,0.0,64.1268,20.7325,incorrect,T29_S14.M04
4,113,S-T029.1,110,491,5,S-T029.1_model_109,1.184,1.184,0.0082,0.0,58.8741,23.5084,incorrect,T29_S14.M05
4,113,S-T029.1,12,393,2,S-T029.1_model_11,1.981,1.981,0.0219,0.0,34.622,15.9599,incorrect,T29_S02.M02
4,113,S-T029.1,111,492,6,S-T029.1_model_110,1.441,1.441,0.0336,0.0,27.4237,13.0567,incorrect,T29_S14.M06
4,113,S-T029.1,112,493,7,S-T029.1_model_111,1.547,1.547,0.0107,0.0,52.112,19.1785,incorrect,T29_S14.M07
4,113,S-T029.1,113,494,8,S-T029.1_model_112,1.385,1.385,0.0076,0.0,62.6699,22.0122,incorrect,T29_S14.M08
4,113,S-T029.1,114,495,9,S-T029.1_model_113,1.464,1.464,0.0132,0.0,51.8271,12.9007,incorrect,T29_S14.M09
4,113,S-T029.1,115,496,10,S-T029.1_model_114,0.447,0.447,0.0042,0.0,85.645,27.97,incorrect,T29_S14.M10
4,113,S-T029.1,116,497,1,S-T029.1_model_115,1.162,1.162,0.0072,0.0,65.7267,20.8546,incorrect,T29_S16.M01
4,113,S-T029.1,117,498,2,S-T029.1_model_116,1.59,1.59,0.0212,0.0,37.6136,12.1357,incorrect,T29_S16.M02
4,113,S-T029.1,118,499,3,S-T029.1_model_117,0.876,0.876,0.0078,0.0,62.4443,21.0348,incorrect,T29_S16.M03
4,113,S-T029.1,119,500,4,S-T029.1_model_118,1.73,1.73,0.0093,0.0,58.065,18.0939,incorrect,T29_S16.M04
4,113,S-T029.1,120,501,5,S-T029.1_model_119,1.631,1.631,0.0049,0.0,80.0028,24.6931,incorrect,T29_S16.M05
4,113,S-T029.1,13,394,3,S-T029.1_model_12,1.869,1.869,0.0093,0.0,58.065,18.0939,incorrect,T29_S02.M03
4,113,S-T029.1,121,502,6,S-T029.1_model_120,1.194,1.194,0.0093,0.0,56.6173,19.5448,incorrect,T29_S16.M06
4,113,S-T029.1,122,503,7,S-T029.1_model_121,1.34,1.34,0.0067,0.0,67.7564,21.9005,incorrect,T29_S16.M07
4,113,S-T029.1,123,504,8,S-T029.1_model_122,2.577,2.577,0.0055,0.0,76.8467,22.6816,incorrect,T29_S16.M08
4,113,S-T029.1,124,505,9,S-T029.1_model_123,0.912,0.912,0.0299,0.0612,61.076,15.2013,incorrect,T29_S16.M09
4,113,S-T029.1,125,506,10,S-T029.1_model_124,1.374,1.374,0.0073,0.0,65.8364,19.987,incorrect,T29_S16.M10
4,113,S-T029.1,126,507,1,S-T029.1_model_125,2.115,2.115,0.0593,0.0,20.2799,8.7493,incorrect,T29_S17.M01
4,113,S-T029.1,127,508,2,S-T029.1_model_126,1.094,1.094,0.0431,0.0408,31.3991,10.4502,incorrect,T29_S17.M02
4,113,S-T029.1,128,509,3,S-T029.1_model_127,1.3,1.3,0.0066,0.0,67.1185,23.9483,incorrect,T29_S17.M03
4,113,S-T029.1,129,510,4,S-T029.1_model_128,0.86,0.86,0.0092,0.0,60.2532,16.6114,incorrect,T29_S17.M04
4,113,S-T029.1,130,511,5,S-T029.1_model_129,1.528,1.528,0.0336,0.0,27.4221,13.0623,incorrect,T29_S17.M05
4,113,S-T029.1,14,395,4,S-T029.1_model_13,1.761,1.761,0.006,0.0,71.2266,23.8181,incorrect,T29_S02.M04
4,113,S-T029.1,131,512,6,S-T029.1_model_130,1.845,1.845,0.0219,0.0,34.6198,15.9826,incorrect,T29_S17.M06
4,113,S-T029.1,132,513,7,S-T029.1_model_131,1.007,1.007,0.0426,0.0408,31.7039,10.5382,incorrect,T29_S17.M07
4,113,S-T029.1,133,514,8,S-T029.1_model_132,0.799,0.799,0.0059,0.0,72.657,23.4997,incorrect,T29_S17.M08
4,113,S-T029.1,134,515,9,S-T029.1_model_133,1.464,1.464,0.0132,0.0,51.8458,12.9124,incorrect,T29_S17.M09
4,113,S-T029.1,135,516,10,S-T029.1_model_134,1.073,1.073,0.0093,0.0,55.9685,20.1855,incorrect,T29_S17.M10
4,113,S-T029.1,136,517,1,S-T029.1_model_135,0.914,0.914,0.5288,0.449,6.6975,1.4401,medium,T29_S18.M01
4,113,S-T029.1,137,518,2,S-T029.1_model_136,0.488,0.488,0.313,0.275,9.0567,3.0419,acceptable,T29_S18.M02
4,113,S-T029.1,138,519,3,S-T029.1_model_137,0.522,0.522,0.0074,0.0,63.2182,22.3488,incorrect,T29_S18.M03
4,113,S-T029.1,139,520,4,S-T029.1_model_138,0.459,0.459,0.0525,0.0204,23.9136,9.4049,incorrect,T29_S18.M04
4,113,S-T029.1,140,521,5,S-T029.1_model_139,0.76,0.76,0.007,0.0,66.2717,21.8971,incorrect,T29_S18.M05
4,113,S-T029.1,15,396,5,S-T029.1_model_14,2.164,2.164,0.0067,0.0,66.7187,22.9696,incorrect,T29_S02.M05
4,113,S-T029.1,141,522,6,S-T029.1_model_140,1.251,1.251,0.0061,0.0,68.3056,26.9745,incorrect,T29_S18.M06
4,113,S-T029.1,142,523,7,S-T029.1_model_141,0.63,0.63,0.0351,0.0,26.5505,13.3451,incorrect,T29_S18.M07
4,113,S-T029.1,143,524,8,S-T029.1_model_142,1.162,1.162,0.0286,0.0244,44.3702,9.1849,incorrect,T29_S18.M08
4,113,S-T029.1,144,525,9,S-T029.1_model_143,0.759,0.759,0.0285,0.0,29.8935,14.467,incorrect,T29_S18.M09
4,113,S-T029.1,145,526,10,S-T029.1_model_144,1.185,1.185,0.2314,0.3673,16.5307,4.1039,incorrect,T29_S18.M10
4,113,S-T029.1,16,397,6,S-T029.1_model_15,1.572,1.572,0.0063,0.0,71.1992,21.298,incorrect,T29_S02.M06
4,113,S-T029.1,17,398,7,S-T029.1_model_16,1.318,1.318,0.0061,0.0,69.9579,23.9749,incorrect,T29_S02.M07
4,113,S-T029.1,18,399,8,S-T029.1_model_17,2.02,2.02,0.0592,0.0,20.3121,8.7307,incorrect,T29_S02.M08
4,113,S-T029.1,19,400,9,S-T029.1_model_18,1.169,1.169,0.0093,0.0,56.6173,19.5448,incorrect,T29_S02.M09
