target,mdn_rank,model_id,identification,mdn_score,fnat,dockq,classification,n_interface_pairs,score_reason,is_success_fnat_gt_0.3,first_positive_rank_in_target
S-T035.1,3,426,T35_S16.M06,-0.683539569,0.0,0.0082,incorrect,11283,ok,0,
S-T035.1,4,379,T35_S08.M09,-0.684499383,0.0,0.0075,incorrect,11623,ok,0,
S-T035.1,5,422,T35_S16.M02,-0.685534775,0.0,0.01,incorrect,12564,ok,0,
S-T036.1,1,340,T36_S03.M01,-0.658437967,0.0462,0.0391,incorrect,11453,ok,0,
S-T036.1,2,339,T36_S02.M10,-0.666457534,0.0462,0.0403,incorrect,11163,ok,0,
S-T036.1,3,334,T36_S02.M05,-0.666760921,0.0,0.0118,incorrect,9726,ok,0,
S-T036.1,4,372,T36_S14.M03,-0.674075484,0.0308,0.0356,incorrect,12116,ok,0,
S-T036.1,5,341,T36_S03.M02,-0.681767881,0.0154,0.0302,incorrect,11539,ok,0,
S-T037.1,1,415,T37_S05.M05,-0.632639587,0.0,0.0126,incorrect,5715,ok,0,10
S-T037.1,2,420,T37_S05.M10,-0.63381505,0.0,0.0231,incorrect,4344,ok,0,10
S-T037.1,3,426,T37_S07.M06,-0.649547875,0.0,0.019,incorrect,3535,ok,0,10
S-T037.1,4,449,T37_S10.M09,-0.652242899,0.0,0.0454,incorrect,5054,ok,0,10
S-T037.1,5,399,T37_S02.M09,-0.655537724,0.0,0.0269,incorrect,6166,ok,0,10
S-T037.2,1,401,T37_S03.M01,-0.643797636,0.0204,0.1384,incorrect,6096,ok,0,8
S-T037.2,2,436,T37_S09.M06,-0.658861399,0.0,0.0227,incorrect,6859,ok,0,8
S-T037.2,3,499,T37_S19.M09,-0.664468944,0.0,0.042,incorrect,6970,ok,0,8
S-T037.2,4,400,T37_S02.M10,-0.665935814,0.0,0.0663,incorrect,6732,ok,0,8
S-T037.2,5,422,T37_S07.M02,-0.666373074,0.0,0.0126,incorrect,5604,ok,0,8
S-T038.1,1,471,T38_S16.M02,-0.66354841,0.0,0.0478,incorrect,9358,ok,0,
S-T038.1,2,479,T38_S16.M10,-0.671035647,0.1176,0.1023,incorrect,11148,ok,0,
S-T038.1,3,466,T38_S13.M07,-0.671811104,0.0,0.0087,incorrect,10346,ok,0,
S-T038.1,4,475,T38_S16.M06,-0.683733344,0.0,0.0768,incorrect,11714,ok,0,
S-T038.1,5,497,T38_S19.M08,-0.683792055,0.0,0.0126,incorrect,8021,ok,0,
S-T039.1,1,368,T39_S02.M02,-0.665570438,0.0,0.0094,incorrect,10300,ok,0,
S-T039.1,2,470,T39_S16.M04,-0.672058284,0.0,0.0103,incorrect,9515,ok,0,
S-T039.1,3,472,T39_S16.M06,-0.673421919,0.0,0.0108,incorrect,8994,ok,0,
S-T039.1,4,418,T39_S07.M02,-0.673500836,0.0,0.0799,incorrect,6651,ok,0,
S-T039.1,5,386,T39_S03.M10,-0.678721845,0.0,0.0141,incorrect,9380,ok,0,
S-T040.2,1,448,T40_S11.M10,-0.646653116,0.0,0.0383,incorrect,9930,ok,0,2
S-T040.2,2,504,T40_S19.M06,-0.647865534,0.3684,0.2113,incorrect,7910,ok,1,2
S-T040.2,3,487,T40_S17.M09,-0.654126406,0.0,0.0412,incorrect,9173,ok,0,2
S-T040.2,4,475,T40_S16.M07,-0.656972945,0.0,0.0561,incorrect,9469,ok,0,2
S-T040.2,5,508,T40_S19.M10,-0.657451689,0.0658,0.0583,incorrect,10725,ok,0,2
S-T053.1,1,483,T53_S14.M09,-0.640436232,0.1538,0.1189,incorrect,11952,ok,0,2
S-T053.1,2,453,T53_S10.M09,-0.642893255,0.4231,0.4973,medium,10600,ok,1,2
S-T053.1,3,454,T53_S10.M10,-0.648365915,0.0577,0.0767,incorrect,11780,ok,0,2
S-T053.1,4,394,T53_S03.M10,-0.651913106,0.7692,0.7518,medium,10339,ok,1,2
S-T053.1,5,397,T53_S04.M03,-0.652529776,0.4615,0.5234,medium,11046,ok,1,2
S-T068.1,1,335,T68_S31.M04,-1.22627223,0.12,0.1212,incorrect,29260,ok,0,
S-T068.1,2,301,T68_S20.M10,-1.23401749,0.0,0.0254,incorrect,27614,ok,0,
S-T068.1,3,310,T68_S21.M09,-1.2430321,0.0,0.0168,incorrect,24694,ok,0,
S-T068.1,4,222,T68_S01.M01,-1.26956534,0.1,0.0622,incorrect,26529,ok,0,
S-T068.1,5,290,T68_S19.M09,-1.2725414,0.0,0.0279,incorrect,23940,ok,0,
S-T068.2,1,268,T68_S14.M07,-0.639219403,0.0,0.0242,incorrect,13065,ok,0,
S-T068.2,2,325,T68_S24.M04,-0.641863406,0.0,0.0203,incorrect,8022,ok,0,
S-T068.2,3,330,T68_S24.M09,-0.64374131,0.0,0.021,incorrect,9490,ok,0,
S-T068.2,4,232,T68_S07.M01,-0.649809182,0.0,0.0142,incorrect,11458,ok,0,
S-T068.2,5,279,T68_S17.M08,-0.651727259,0.0,0.024,incorrect,11987,ok,0,
S-T070.1,1,325,T70_S24.M04,-0.642419994,0.0303,0.0429,incorrect,9840,ok,0,
S-T070.1,2,340,T70_S31.M09,-0.644852221,0.0303,0.0544,incorrect,16897,ok,0,
S-T070.1,3,351,T70_S32.M10,-0.653527379,0.0,0.0165,incorrect,5832,ok,0,
S-T070.1,4,330,T70_S24.M09,-0.654212773,0.0,0.0306,incorrect,8377,ok,0,
S-T070.1,5,253,T70_S12.M02,-0.656416118,0.0,0.0199,incorrect,7292,ok,0,
S-T071.1,1,323,T71_S24.M10,-0.473249525,0.0,0.0428,incorrect,85,ok,0,
S-T071.1,2,292,T71_S20.M09,-0.610318482,0.0213,0.0623,incorrect,3463,ok,0,
S-T071.1,3,336,T71_S32.M02,-0.640925765,0.0,0.0548,incorrect,2571,ok,0,
S-T071.1,4,244,T71_S12.M01,-0.659900308,0.0,0.0185,incorrect,6459,ok,0,
S-T071.1,5,267,T71_S17.M04,-0.662827909,0.0,0.0089,incorrect,7600,ok,0,
S-T071.2,1,258,T71_S14.M05,-0.00206127181,0.0,0.0117,incorrect,15,ok,0,
S-T071.2,2,259,T71_S14.M06,-0.43710041,0.0,0.0145,incorrect,53,ok,0,
S-T071.2,3,343,T71_S32.M09,-0.661105096,0.0,0.0133,incorrect,8492,ok,0,
S-T071.2,4,240,T71_S08.M07,-0.662476778,0.0,0.0123,incorrect,8133,ok,0,
S-T071.2,5,313,T71_S23.M10,-0.664848387,0.0,0.0558,incorrect,8616,ok,0,
S-T071.3,1,328,T71_S31.M04,-0.553397596,0.0,0.0812,incorrect,127,ok,0,31
S-T071.3,2,331,T71_S31.M07,-0.660597265,0.0,0.1016,incorrect,224,ok,0,31
S-T071.3,3,252,T71_S12.M09,-0.662096262,0.0,0.0116,incorrect,8013,ok,0,31
S-T071.3,4,268,T71_S17.M05,-0.66650939,0.0,0.0115,incorrect,6472,ok,0,31
S-T071.3,5,311,T71_S23.M08,-0.669425428,0.0,0.0187,incorrect,8892,ok,0,31
S-T073.1,1,279,T73_S20.M08,0.011123836,0.0,0.0264,incorrect,3,ok,0,
S-T073.1,2,248,T73_S08.M07,-0.222206041,0.0,0.0456,incorrect,15,ok,0,
S-T073.1,3,330,T73_S32.M09,-0.643706739,0.0,0.04,incorrect,4973,ok,0,
S-T073.1,4,324,T73_S32.M03,-0.655240536,0.0882,0.0741,incorrect,7464,ok,0,
S-T073.1,5,265,T73_S17.M04,-0.660566032,0.16,0.1331,incorrect,9780,ok,0,
S-T073.2,1,327,T73_S32.M06,0.156806663,0.0,0.0247,incorrect,7,ok,0,81
S-T073.2,2,248,T73_S08.M07,-0.0915073603,0.0,0.008,incorrect,16,ok,0,81
S-T073.2,3,235,T73_S07.M04,-0.653397083,0.0,0.0531,incorrect,7588,ok,0,81
S-T073.2,4,279,T73_S20.M08,-0.666638851,0.0,0.0125,incorrect,7406,ok,0,81
S-T073.2,5,224,T73_S01.M03,-0.670065641,0.0714,0.0599,incorrect,12523,ok,0,81
S-T077.1,1,320,T77_S23.M01,-0.665819407,0.0,0.0068,incorrect,10208,ok,0,
S-T077.1,2,280,T77_S17.M01,-0.669809759,0.0,0.0132,incorrect,14787,ok,0,
S-T077.1,3,288,T77_S17.M09,-0.671220005,0.0,0.0095,incorrect,14338,ok,0,
S-T077.1,4,307,T77_S20.M08,-0.676487386,0.0,0.0096,incorrect,11799,ok,0,
S-T077.1,5,321,T77_S23.M02,-0.676748753,0.0,0.0106,incorrect,13027,ok,0,
S-T078.1,1,260,T78_S12.M01,-0.532760382,0.0,0.0243,incorrect,527,ok,0,4
S-T078.1,2,320,T78_S24.M01,-0.660543144,0.0,0.0149,incorrect,4001,ok,0,4
S-T078.1,3,290,T78_S20.M01,-0.663658321,0.0,0.0211,incorrect,12545,ok,0,4
S-T078.1,4,331,T78_S31.M02,-0.674359381,0.3661,0.205,incorrect,18886,ok,1,4
S-T078.1,5,294,T78_S20.M05,-0.675346017,0.0,0.0092,incorrect,4208,ok,0,4
S-T079.1,1,318,T79_S20.M06,-0.633517325,0.0,0.0156,incorrect,7316,ok,0,2
S-T079.1,2,266,T79_S08.M04,-0.652881622,0.6346,0.5884,medium,7180,ok,1,2
S-T079.1,3,338,T79_S23.M06,-0.654052675,0.0,0.0692,incorrect,5882,ok,0,2
S-T079.1,4,250,T79_S01.M08,-0.663742483,0.0,0.0307,incorrect,10389,ok,0,2
S-T079.1,5,247,T79_S01.M05,-0.669392049,0.0,0.024,incorrect,10067,ok,0,2
S-T085.1,1,358,T85_S31.M07,-0.693650067,0.0109,0.0145,incorrect,19291,ok,0,10
S-T085.1,2,266,T85_S08.M05,-0.702040851,0.0211,0.0203,incorrect,22070,ok,0,10
S-T085.1,3,355,T85_S31.M04,-0.702432871,0.0145,0.0168,incorrect,23326,ok,0,10
S-T085.1,4,357,T85_S31.M06,-0.70259732,0.0181,0.0192,incorrect,21877,ok,0,10
S-T085.1,5,268,T85_S08.M07,-0.70524174,0.003,0.0336,incorrect,28587,ok,0,10
S-T086.1,1,282,T86_S12.M01,-0.624910474,0.0,0.0268,incorrect,6915,ok,0,12
S-T086.1,2,326,T86_S20.M05,-0.649046004,0.2381,0.1541,incorrect,7646,ok,0,12
S-T086.1,3,265,T86_S07.M04,-0.657348454,0.0,0.0394,incorrect,8859,ok,0,12
S-T086.1,4,324,T86_S20.M03,-0.658697009,0.1905,0.1134,incorrect,8123,ok,0,12
S-T086.1,5,285,T86_S12.M04,-0.659745038,0.0952,0.0691,incorrect,9250,ok,0,12
S-T086.2,1,282,T86_S12.M01,-0.624729574,0.0,0.0258,incorrect,6915,ok,0,10
S-T086.2,2,326,T86_S20.M05,-0.648643017,0.0,0.0266,incorrect,7646,ok,0,10
S-T086.2,3,265,T86_S07.M04,-0.657348454,0.0,0.0358,incorrect,8859,ok,0,10
S-T086.2,4,324,T86_S20.M03,-0.658698082,0.0,0.0312,incorrect,8123,ok,0,10
S-T086.2,5,285,T86_S12.M04,-0.659744501,0.0,0.0382,incorrect,9250,ok,0,10
S-T087.1,1,257,T87_S08.M06,-1.65980411,0.0458,0.0709,incorrect,68090,ok,0,4
S-T087.1,2,311,T87_S20.M10,-1.66725671,0.0048,0.0326,incorrect,74149,ok,0,4
S-T087.1,3,341,T87_S24.M10,-1.69020116,0.0,0.0145,incorrect,70126,ok,0,4
S-T087.1,4,307,T87_S20.M06,-1.69059539,0.524,0.4923,medium,73302,ok,1,4
S-T087.1,5,239,T87_S01.M08,-1.69335997,0.0,0.0147,incorrect,66531,ok,0,4
S-T088.1,1,280,T88_S02.M09,-0.64323169,0.0526,0.1313,incorrect,15728,ok,0,
S-T088.1,2,265,T88_S01.M04,-0.65014261,0.0,0.0449,incorrect,13628,ok,0,
S-T088.1,3,353,T88_S21.M02,-0.650886893,0.0526,0.131,incorrect,15318,ok,0,
S-T088.1,4,368,T88_S23.M07,-0.650913179,0.0,0.019,incorrect,10868,ok,0,
S-T088.1,5,355,T88_S21.M04,-0.656081676,0.0244,0.0472,incorrect,13171,ok,0,
S-T089.1,1,279,T89_S20.M08,-1.90619409,0.0,0.0114,incorrect,89788,ok,0,5
S-T089.1,2,281,T89_S20.M10,-1.91895151,0.0,0.0159,incorrect,105134,ok,0,5
S-T089.1,3,242,T89_S12.M01,-1.93892622,0.0377,0.0358,incorrect,104514,ok,0,5
S-T089.1,4,276,T89_S20.M05,-1.94446337,0.0377,0.0372,incorrect,88976,ok,0,5
S-T089.1,5,243,T89_S12.M02,-1.95654821,0.4717,0.3272,incorrect,97285,ok,1,5
S-T093.1,1,313,T93_S24.M10,-0.656149745,0.0,0.0121,incorrect,17343,ok,0,2
S-T093.1,2,300,T93_S23.M07,-0.664415658,0.6169,0.575,medium,24622,ok,1,2
S-T093.1,3,248,T93_S12.M05,-0.66680038,0.592,0.5804,medium,21250,ok,1,2
S-T093.1,4,307,T93_S24.M04,-0.667341173,0.5274,0.5592,medium,19464,ok,1,2
S-T093.1,5,219,T93_S01.M06,-0.668367803,0.7264,0.6823,medium,23977,ok,1,2
S-T094.1,1,240,T94_S08.M05,-0.6568591,0.0,0.0195,incorrect,14664,ok,0,2
S-T094.1,2,236,T94_S08.M01,-0.667117357,0.7083,0.5762,medium,9396,ok,1,2
S-T094.1,3,228,T94_S07.M03,-0.669160724,0.0411,0.0359,incorrect,28177,ok,0,2
S-T094.1,4,303,T94_S21.M08,-0.676919222,0.3889,0.3686,acceptable,14616,ok,1,2
S-T094.1,5,331,T94_S31.M06,-0.678031266,0.0,0.0188,incorrect,26901,ok,0,2
S-T096.1,1,381,T96_S31.M01,-0.634471834,0.0182,0.0607,incorrect,15970,ok,0,4
S-T096.1,2,274,T96_S04.M04,-0.647660732,0.0625,0.033,incorrect,10700,ok,0,4
S-T096.1,3,342,T96_S21.M02,-0.65947336,0.0182,0.0996,incorrect,15163,ok,0,4
S-T096.1,4,386,T96_S31.M06,-0.661311269,0.32,0.3634,acceptable,11189,ok,1,4
S-T096.1,5,298,T96_S07.M08,-0.664773941,0.1111,0.0495,incorrect,13591,ok,0,4
S-T097.1,1,363,T97_S26.M03,-0.635602951,0.0366,0.0418,incorrect,10952,ok,0,12
S-T097.1,2,368,T97_S26.M08,-0.641721964,0.1585,0.1645,incorrect,11997,ok,0,12
S-T097.1,3,361,T97_S26.M01,-0.645772636,0.0366,0.0618,incorrect,11753,ok,0,12
S-T097.1,4,387,T97_S31.M07,-0.64835614,0.0,0.0288,incorrect,10494,ok,0,12
S-T097.1,5,305,T97_S12.M05,-0.648621798,0.0,0.0303,incorrect,11308,ok,0,12
S-T098.1,1,327,T98_S10.M09,-0.650482297,0.0,0.045,incorrect,7532,ok,0,
S-T098.1,2,368,T98_S20.M10,-0.653117597,0.0,0.0442,incorrect,7567,ok,0,
S-T098.1,3,345,T98_S17.M07,-0.653117716,0.0,0.0442,incorrect,7567,ok,0,
S-T098.1,4,286,T98_S04.M08,-0.657633483,0.0286,0.0698,incorrect,8728,ok,0,
S-T098.1,5,396,T98_S23.M08,-0.658817947,0.0,0.0462,incorrect,10542,ok,0,
S-T099.1,1,393,T99_S35.M03,-0.662795067,0.0,0.0312,incorrect,10334,ok,0,
S-T099.1,2,323,T99_S17.M03,-0.674150705,0.0071,0.0516,incorrect,11764,ok,0,
S-T099.1,3,269,T99_S04.M09,-0.67481792,0.0077,0.0404,incorrect,10848,ok,0,
S-T099.1,4,335,T99_S19.M05,-0.679932177,0.0,0.0338,incorrect,11220,ok,0,
S-T099.1,5,350,T99_S20.M10,-0.685529053,0.0214,0.0471,incorrect,11171,ok,0,
S-T100.1,1,327,T100_S19.M07,-0.668706298,0.0,0.061,incorrect,9026,ok,0,
S-T100.1,2,316,T100_S17.M06,-0.670799494,0.0351,0.0432,incorrect,10538,ok,0,
S-T100.1,3,296,T100_S10.M06,-0.677574635,nan,nan,incorrect,6740,ok,0,
S-T100.1,4,285,T100_S09.M05,-0.681702971,0.0,0.0283,incorrect,12191,ok,0,
S-T100.1,5,378,T100_S35.M08,-0.683471382,0.0,0.0373,incorrect,10823,ok,0,
S-T101.1,1,392,T101_S35.M04,-0.651474595,0.0,0.0084,incorrect,9052,ok,0,
S-T101.1,2,300,T101_S10.M02,-0.655847192,0.0,0.0158,incorrect,10390,ok,0,
S-T101.1,3,325,T101_S17.M07,-0.659492373,0.0088,0.0125,incorrect,8028,ok,0,
S-T101.1,4,285,T101_S07.M07,-0.66674608,0.0175,0.0125,incorrect,8594,ok,0,
S-T101.1,5,357,T101_S21.M09,-0.667531073,0.0,0.0134,incorrect,8673,ok,0,
S-T107.1,1,366,T107_S30.M06,-0.696263492,0.0169,0.1037,incorrect,12535,ok,0,
S-T107.1,2,303,T107_S10.M03,-0.699609041,0.0,0.0204,incorrect,9545,ok,0,
S-T107.1,3,364,T107_S30.M04,-0.702056348,0.0,0.0062,incorrect,10459,ok,0,
S-T107.1,4,277,T107_S04.M07,-0.702105105,0.0,0.0203,incorrect,12162,ok,0,
S-T107.1,5,325,T107_S17.M05,-0.702414513,0.0,0.0379,incorrect,11358,ok,0,
S-T110.1,1,325,T110_S16.M10,-0.647351563,0.026,0.0512,incorrect,11935,ok,0,2
S-T110.1,2,284,T110_S05.M09,-0.65660429,0.4675,0.5521,medium,10470,ok,1,2
S-T110.1,3,263,T110_S03.M08,-0.657142043,0.3377,0.445,medium,11433,ok,1,2
S-T110.1,4,239,T110_S01.M04,-0.657533705,0.24,0.3876,acceptable,11156,ok,0,2
S-T110.1,5,388,T110_S36.M03,-0.659196079,0.026,0.0511,incorrect,11902,ok,0,2
S-T113.1,1,393,T113_S30.M09,-0.643810987,0.026,0.0662,incorrect,9277,ok,0,
S-T113.1,2,401,T113_S31.M07,-0.646490395,0.0455,0.0971,incorrect,8607,ok,0,
S-T113.1,3,261,T113_S01.M07,-0.653134823,0.0,0.0751,incorrect,7101,ok,0,
S-T113.1,4,368,T113_S21.M04,-0.656033099,0.0444,0.0763,incorrect,8317,ok,0,
S-T113.1,5,305,T113_S13.M01,-0.656219184,0.039,0.0777,incorrect,7465,ok,0,
S-T116.1,1,422,T116_S29.M07,-0.645186722,0.2165,0.0825,incorrect,16898,ok,0,25
S-T116.1,2,315,T116_S02.M10,-0.648065031,0.0,0.0054,incorrect,12267,ok,0,25
S-T116.1,3,329,T116_S05.M04,-0.650242746,0.1856,0.072,incorrect,16812,ok,0,25
S-T116.1,4,348,T116_S13.M03,-0.656076074,0.2062,0.0793,incorrect,18003,ok,0,25
S-T116.1,5,344,T116_S10.M09,-0.657011688,0.2062,0.0786,incorrect,15423,ok,0,25
S-T117.1,1,399,T117_S31.M05,-1.71064532,0.0,0.0137,incorrect,64800,ok,0,3
S-T117.1,2,262,T117_S01.M08,-1.72041655,0.0,0.0219,incorrect,68384,ok,0,3
S-T117.1,3,335,T117_S16.M01,-1.72203743,0.5395,0.1916,incorrect,66930,ok,1,3
S-T117.1,4,264,T117_S01.M10,-1.72305763,0.0,0.0383,incorrect,68497,ok,0,3
S-T117.1,5,259,T117_S01.M05,-1.72583592,0.0,0.0203,incorrect,68483,ok,0,3
S-T117.2,1,348,T117_S21.M04,0.0055606314,0.0,0.011,incorrect,11,ok,0,
S-T117.2,2,260,T117_S04.M06,-0.107983507,0.0,0.0026,incorrect,30,ok,0,
S-T117.2,3,351,T117_S21.M07,-0.295906842,0.0,0.0147,incorrect,20,ok,0,
S-T117.2,4,321,T117_S16.M07,-0.357663095,0.0,0.0079,incorrect,68,ok,0,
S-T117.2,5,252,T117_S02.M08,-0.423950613,0.0,0.0033,incorrect,313,ok,0,
S-T117.3,1,258,T117_S01.M04,-0.674180627,0.0,0.0178,incorrect,11086,ok,0,31
S-T117.3,2,289,T117_S05.M05,-0.683790088,0.0,0.0383,incorrect,3735,ok,0,31
S-T117.3,3,376,T117_S29.M02,-0.687301874,0.0,0.0139,incorrect,12308,ok,0,31
S-T117.3,4,332,T117_S15.M08,-0.687720835,0.0,0.0147,incorrect,13533,ok,0,31
S-T117.3,5,412,T117_S36.M08,-0.693475902,0.0,0.0043,incorrect,6169,ok,0,31
S-T117.4,1,343,T117_S19.M07,-1.69335055,0.0,0.0097,incorrect,69593,ok,0,155
S-T117.4,2,317,T117_S16.M01,-1.71046484,0.0,0.0052,incorrect,66280,ok,0,155
S-T117.4,3,257,T117_S04.M01,-1.72467721,0.0,0.0042,incorrect,72685,ok,0,155
S-T117.4,4,325,T117_S16.M09,-1.73263013,0.0,0.0035,incorrect,65980,ok,0,155
S-T117.4,5,346,T117_S19.M10,-1.73265803,0.0,0.0029,incorrect,64947,ok,0,155
S-T120.1,1,298,T120_S03.M01,-0.648025215,0.0139,0.0468,incorrect,7153,ok,0,3
S-T120.1,2,385,T120_S18.M08,-0.65507853,0.0278,0.0683,incorrect,7499,ok,0,3
S-T120.1,3,379,T120_S18.M02,-0.65931493,0.3472,0.3473,acceptable,6846,ok,1,3
S-T120.1,4,308,T120_S04.M01,-0.659489453,0.0278,0.0314,incorrect,12985,ok,0,3
S-T120.1,5,299,T120_S03.M02,-0.663767338,0.0139,0.0601,incorrect,7111,ok,0,3
S-T121.1,1,486,T121_S35.M09,-0.666999519,0.0,0.0499,incorrect,5048,ok,0,21
S-T121.1,2,480,T121_S35.M03,-0.668163598,0.0,0.0584,incorrect,4335,ok,0,21
S-T121.1,3,337,T121_S02.M10,-0.679629982,0.1228,0.1483,incorrect,7065,ok,0,21
S-T121.1,4,392,T121_S16.M05,-0.682618201,0.1579,0.1512,incorrect,6732,ok,0,21
S-T121.1,5,360,T121_S08.M03,-0.688115895,0.1579,0.1512,incorrect,6639,ok,0,21
S-T122.1,1,2390,T122_S01.M01,-0.664818287,0.0,0.1923,incorrect,4583,ok,0,21
S-T122.1,2,2393,T122_S01.M04,-0.669014394,0.0,0.2806,incorrect,4318,ok,0,21
S-T122.1,3,2515,T122_S23.M06,-0.6708076,0.0,0.2685,incorrect,4359,ok,0,21
S-T122.1,4,2509,T122_S20.M10,-0.673925281,0.0,0.2859,incorrect,9698,ok,0,21
S-T122.1,5,2480,T122_S18.M01,-0.676694989,0.0,0.2901,incorrect,5618,ok,0,21
S-T123.1,1,2461,T123_S11.M08,-0.654781997,0.0,0.0294,incorrect,9409,ok,0,
S-T123.1,2,2501,T123_S19.M08,-0.660314441,0.0,0.0123,incorrect,10558,ok,0,
S-T123.1,3,2496,T123_S19.M03,-0.664029956,0.0,0.012,incorrect,10307,ok,0,
S-T123.1,4,2448,T123_S10.M05,-0.669323742,0.0,0.013,incorrect,12016,ok,0,
S-T123.1,5,2458,T123_S11.M05,-0.669323802,0.0,0.013,incorrect,12016,ok,0,
S-T124.1,1,2099,T124_S10.M03,-0.64777261,0.0066,0.0149,incorrect,17223,ok,0,
S-T124.1,2,2110,T124_S11.M04,-0.64777267,0.0066,0.0149,incorrect,17223,ok,0,
S-T124.1,3,2092,T124_S08.M06,-0.665730774,0.0066,0.0153,incorrect,16481,ok,0,
S-T124.1,4,2083,T124_S06.M07,-0.666357517,0.0066,0.0149,incorrect,17208,ok,0,
S-T124.1,5,2090,T124_S08.M04,-0.675815284,0.0066,0.0156,incorrect,17730,ok,0,
S-T125.1,1,2048,T125_S01.M06,0.0925635546,0.0,0.0263,incorrect,6,ok,0,13
S-T125.1,2,2192,T125_S27.M10,-0.357354432,0.0,0.0281,incorrect,44,ok,0,13
S-T125.1,3,2136,T125_S15.M04,-0.47043255,0.0,0.026,incorrect,113,ok,0,13
S-T125.1,4,2043,T125_S01.M01,-0.472569883,0.0,0.0287,incorrect,83,ok,0,13
S-T125.1,5,2074,T125_S04.M02,-0.595142305,0.0,0.0263,incorrect,84,ok,0,13
S-T125.2,1,2135,T125_S10.M10,-0.633990526,0.1316,0.3103,acceptable,8769,ok,0,2
S-T125.2,2,2203,T125_S21.M08,-0.64934659,0.8056,0.6078,medium,7810,ok,1,2
S-T125.2,3,2156,T125_S15.M01,-0.652861774,0.4211,0.4614,medium,10187,ok,1,2
S-T125.2,4,2202,T125_S21.M07,-0.65472436,0.8333,0.7829,medium,7654,ok,1,2
S-T125.2,5,2237,T125_S34.M02,-0.654827595,0.3158,0.4582,medium,5897,ok,1,2
S-T125.3,1,2146,T125_S16.M03,-1.26767266,0.0,0.0551,incorrect,24566,ok,0,
S-T125.3,2,2063,T125_S02.M10,-1.26836395,0.0,0.0656,incorrect,27882,ok,0,
S-T125.3,3,2197,T125_S28.M04,-1.30573511,0.0,0.0552,incorrect,25039,ok,0,
S-T125.3,4,2077,T125_S04.M04,-1.30988729,0.0,0.0204,incorrect,27243,ok,0,
S-T125.3,5,2095,T125_S09.M02,-1.30988729,0.0,0.0204,incorrect,27243,ok,0,
S-T125.4,1,2072,T125_S03.M09,0.218149871,0.0,0.0189,incorrect,3,ok,0,
S-T125.4,2,2198,T125_S28.M05,-0.628596723,0.0,0.0146,incorrect,9819,ok,0,
S-T125.4,3,2090,T125_S05.M07,-0.647511423,0.0,0.0154,incorrect,6007,ok,0,
