target,score,dockq,irmsd,crmsd,classification,success,pred_lig
5C7X,-0.681485,0.970000,0.373169,0.378428,high,1,/root/PPCBench/results/DB5/hdock_1/5C7X/5C7X_hdock_1_id.pdb
3WD5,-0.682557,0.988000,0.240421,0.317450,high,1,/root/PPCBench/results/DB5/hdock_1/3WD5/3WD5_hdock_1_id.pdb
2G77,-0.682870,0.989000,0.197760,0.191780,high,1,/root/PPCBench/results/DB5/hdock_1/2G77/2G77_hdock_1_id.pdb
1CGI,-0.682987,0.994000,0.154501,0.169142,high,1,/root/PPCBench/results/DB5/hdock_1/1CGI/1CGI_hdock_1_id.pdb
1ATN,-0.683656,0.966000,0.314567,0.590317,high,1,/root/PPCBench/results/DB5/hdock_1/1ATN/1ATN_hdock_1_id.pdb
1EER,-0.684065,0.985000,0.193569,0.182557,high,1,/root/PPCBench/results/DB5/hdock_1/1EER/1EER_hdock_1_id.pdb
1MLC,-0.685735,0.983000,0.322171,0.292771,high,1,/root/PPCBench/results/DB5/hdock_1/1MLC/1MLC_hdock_1_id.pdb
1OC0,-0.685875,0.989000,0.195486,0.173439,high,1,/root/PPCBench/results/DB5/hdock_1/1OC0/1OC0_hdock_1_id.pdb
2PCC,-0.685985,0.011000,22.221474,17.767313,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/2PCC/2PCC_hdock_1_id.pdb
1QA9,-0.686141,0.013000,19.393147,17.197268,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/1QA9/1QA9_hdock_1_id.pdb
5WK3,-0.686767,0.984000,0.249252,0.248659,high,1,/root/PPCBench/results/DB5/hdock_1/5WK3/5WK3_hdock_1_id.pdb
3RVW,-0.687238,0.968000,0.339626,0.537225,high,1,/root/PPCBench/results/DB5/hdock_1/3RVW/3RVW_hdock_1_id.pdb
1RLB,-0.687464,0.006000,19.619492,28.284241,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/1RLB/1RLB_hdock_1_id.pdb
3HMX,-0.687765,0.957000,0.519555,0.577795,high,1,/root/PPCBench/results/DB5/hdock_1/3HMX/3HMX_hdock_1_id.pdb
4ETQ,-0.687806,0.985000,0.293398,0.327637,high,1,/root/PPCBench/results/DB5/hdock_1/4ETQ/4ETQ_hdock_1_id.pdb
1GCQ,-0.688032,0.981000,0.202761,0.319486,high,1,/root/PPCBench/results/DB5/hdock_1/1GCQ/1GCQ_hdock_1_id.pdb
1HE1,-0.689093,0.983000,0.232333,0.265568,high,1,/root/PPCBench/results/DB5/hdock_1/1HE1/1HE1_hdock_1_id.pdb
5CBA,-0.689420,0.960000,0.265842,0.377849,high,1,/root/PPCBench/results/DB5/hdock_1/5CBA/5CBA_hdock_1_id.pdb
5SV3,-0.689703,0.988000,0.225301,0.250165,high,1,/root/PPCBench/results/DB5/hdock_1/5SV3/5SV3_hdock_1_id.pdb
1FQJ,-0.689820,0.991000,0.176916,0.223210,high,1,/root/PPCBench/results/DB5/hdock_1/1FQJ/1FQJ_hdock_1_id.pdb
3V6Z,-0.691245,0.944000,0.485159,0.618161,high,1,/root/PPCBench/results/DB5/hdock_1/3V6Z/3V6Z_hdock_1_id.pdb
3EOA,-0.691327,0.993000,0.151632,0.230567,high,1,/root/PPCBench/results/DB5/hdock_1/3EOA/3EOA_hdock_1_id.pdb
1JTD,-0.692464,0.985000,0.248463,0.239553,high,1,/root/PPCBench/results/DB5/hdock_1/1JTD/1JTD_hdock_1_id.pdb
1IRA,-0.692679,0.962000,0.397460,0.414808,high,1,/root/PPCBench/results/DB5/hdock_1/1IRA/1IRA_hdock_1_id.pdb
1UDI,-0.692880,0.969000,0.376243,0.419161,high,1,/root/PPCBench/results/DB5/hdock_1/1UDI/1UDI_hdock_1_id.pdb
1BUH,-0.693456,0.973000,0.383503,0.281455,high,1,/root/PPCBench/results/DB5/hdock_1/1BUH/1BUH_hdock_1_id.pdb
5O1R,-0.693586,0.986000,0.270488,0.243891,high,1,/root/PPCBench/results/DB5/hdock_1/5O1R/5O1R_hdock_1_id.pdb
1ZHI,-0.693633,0.989000,0.146605,0.334743,high,1,/root/PPCBench/results/DB5/hdock_1/1ZHI/1ZHI_hdock_1_id.pdb
2FJU,-0.693634,0.005000,26.694130,29.136229,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/2FJU/2FJU_hdock_1_id.pdb
2DD8,-0.694950,0.945000,0.380740,0.586045,high,1,/root/PPCBench/results/DB5/hdock_1/2DD8/2DD8_hdock_1_id.pdb
1KXP,-0.694982,0.973000,0.338261,0.340629,high,1,/root/PPCBench/results/DB5/hdock_1/1KXP/1KXP_hdock_1_id.pdb
2HLE,-0.695049,0.976000,0.246745,0.367881,high,1,/root/PPCBench/results/DB5/hdock_1/2HLE/2HLE_hdock_1_id.pdb
2VIS,-0.695401,0.016000,15.121778,21.602270,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/2VIS/2VIS_hdock_1_id.pdb
3BX7,-0.696074,0.990000,0.255936,0.243397,high,1,/root/PPCBench/results/DB5/hdock_1/3BX7/3BX7_hdock_1_id.pdb
2BTF,-0.696076,0.989000,0.238631,0.238884,high,1,/root/PPCBench/results/DB5/hdock_1/2BTF/2BTF_hdock_1_id.pdb
1F6M,-0.696252,0.991000,0.221227,0.210999,high,1,/root/PPCBench/results/DB5/hdock_1/1F6M/1F6M_hdock_1_id.pdb
1ZHH,-0.697473,0.978000,0.318338,0.365180,high,1,/root/PPCBench/results/DB5/hdock_1/1ZHH/1ZHH_hdock_1_id.pdb
3VLB,-0.697798,0.967000,0.301338,0.464115,high,1,/root/PPCBench/results/DB5/hdock_1/3VLB/3VLB_hdock_1_id.pdb
4M76,-0.697977,0.007000,27.451872,22.289066,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/4M76/4M76_hdock_1_id.pdb
1FFW,-0.698247,0.988000,0.193597,0.267719,high,1,/root/PPCBench/results/DB5/hdock_1/1FFW/1FFW_hdock_1_id.pdb
2YVJ,-0.698386,0.083000,11.680935,8.016748,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/2YVJ/2YVJ_hdock_1_id.pdb
3EO1,-0.699118,0.017000,14.931576,12.795693,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/3EO1/3EO1_hdock_1_id.pdb
1GPW,-0.699302,0.962000,0.332533,0.480571,high,1,/root/PPCBench/results/DB5/hdock_1/1GPW/1GPW_hdock_1_id.pdb
2OT3,-0.700276,0.990000,0.177193,0.215287,high,1,/root/PPCBench/results/DB5/hdock_1/2OT3/2OT3_hdock_1_id.pdb
4HX3,-0.700546,0.011000,15.852792,20.701675,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/4HX3/4HX3_hdock_1_id.pdb
4DW2,-0.700553,0.911000,0.320636,0.842211,high,1,/root/PPCBench/results/DB5/hdock_1/4DW2/4DW2_hdock_1_id.pdb
2Z0E,-0.700781,0.990000,0.222350,0.279078,high,1,/root/PPCBench/results/DB5/hdock_1/2Z0E/2Z0E_hdock_1_id.pdb
6CWG,-0.700969,0.006000,29.470787,24.735439,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/6CWG/6CWG_hdock_1_id.pdb
2ABZ,-0.701284,0.955000,0.350859,0.383685,high,1,/root/PPCBench/results/DB5/hdock_1/2ABZ/2ABZ_hdock_1_id.pdb
3PC8,-0.701496,0.984000,0.274445,0.301027,high,1,/root/PPCBench/results/DB5/hdock_1/3PC8/3PC8_hdock_1_id.pdb
1FAK,-0.702199,0.974000,0.321290,0.260742,high,1,/root/PPCBench/results/DB5/hdock_1/1FAK/1FAK_hdock_1_id.pdb
6OC3,-0.702370,0.021000,14.607712,14.018636,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/6OC3/6OC3_hdock_1_id.pdb
1XQS,-0.702442,0.985000,0.247179,0.237689,high,1,/root/PPCBench/results/DB5/hdock_1/1XQS/1XQS_hdock_1_id.pdb
3DAW,-0.702986,0.995000,0.143658,0.170316,high,1,/root/PPCBench/results/DB5/hdock_1/3DAW/3DAW_hdock_1_id.pdb
2OUL,-0.703352,0.987000,0.185291,0.347005,high,1,/root/PPCBench/results/DB5/hdock_1/2OUL/2OUL_hdock_1_id.pdb
1R8S,-0.704003,0.992000,0.178455,0.210611,high,1,/root/PPCBench/results/DB5/hdock_1/1R8S/1R8S_hdock_1_id.pdb
1AKJ,-0.704956,0.978000,0.215083,0.256558,high,1,/root/PPCBench/results/DB5/hdock_1/1AKJ/1AKJ_hdock_1_id.pdb
1EWY,-0.705118,0.056000,10.664213,10.142116,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/1EWY/1EWY_hdock_1_id.pdb
3AAA,-0.705518,0.973000,0.333742,0.353700,high,1,/root/PPCBench/results/DB5/hdock_1/3AAA/3AAA_hdock_1_id.pdb
5Y9J,-0.705586,0.991000,0.198955,0.271415,high,1,/root/PPCBench/results/DB5/hdock_1/5Y9J/5Y9J_hdock_1_id.pdb
4H03,-0.706335,0.043000,14.925338,13.973145,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/4H03/4H03_hdock_1_id.pdb
2SIC,-0.707016,0.991000,0.148619,0.302261,high,1,/root/PPCBench/results/DB5/hdock_1/2SIC/2SIC_hdock_1_id.pdb
6BPC,-0.707193,0.015000,20.588951,25.500935,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/6BPC/6BPC_hdock_1_id.pdb
6A77,-0.707281,0.989000,0.252756,0.216217,high,1,/root/PPCBench/results/DB5/hdock_1/6A77/6A77_hdock_1_id.pdb
4G6J,-0.707717,0.989000,0.286906,0.207387,high,1,/root/PPCBench/results/DB5/hdock_1/4G6J/4G6J_hdock_1_id.pdb
1KTZ,-0.708042,0.017000,15.436779,17.959536,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/1KTZ/1KTZ_hdock_1_id.pdb
5GRJ,-0.708378,0.967000,0.308688,0.481281,high,1,/root/PPCBench/results/DB5/hdock_1/5GRJ/5GRJ_hdock_1_id.pdb
3MJ9,-0.708417,0.931000,0.594005,0.737795,high,1,/root/PPCBench/results/DB5/hdock_1/3MJ9/3MJ9_hdock_1_id.pdb
1I4D,-0.708560,0.963000,0.332857,0.526935,high,1,/root/PPCBench/results/DB5/hdock_1/1I4D/1I4D_hdock_1_id.pdb
1GRN,-0.708699,0.990000,0.253122,0.249799,high,1,/root/PPCBench/results/DB5/hdock_1/1GRN/1GRN_hdock_1_id.pdb
1PXV,-0.708815,0.983000,0.165869,0.322492,high,1,/root/PPCBench/results/DB5/hdock_1/1PXV/1PXV_hdock_1_id.pdb
1RV6,-0.708893,0.979000,0.344671,0.373278,high,1,/root/PPCBench/results/DB5/hdock_1/1RV6/1RV6_hdock_1_id.pdb
1OYV,-0.709241,0.960000,0.323593,0.424209,high,1,/root/PPCBench/results/DB5/hdock_1/1OYV/1OYV_hdock_1_id.pdb
3SZK,-0.709276,0.015000,13.662432,17.883547,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/3SZK/3SZK_hdock_1_id.pdb
6DBG,-0.709461,0.988000,0.255595,0.305771,high,1,/root/PPCBench/results/DB5/hdock_1/6DBG/6DBG_hdock_1_id.pdb
2AJF,-0.710039,0.976000,0.350477,0.365577,high,1,/root/PPCBench/results/DB5/hdock_1/2AJF/2AJF_hdock_1_id.pdb
1KKL,-0.710235,0.011000,20.487320,16.950411,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/1KKL/1KKL_hdock_1_id.pdb
1S78,-0.710362,0.977000,0.311877,0.549159,high,1,/root/PPCBench/results/DB5/hdock_1/1S78/1S78_hdock_1_id.pdb
3K75,-0.710783,0.013000,15.484825,21.972248,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/3K75/3K75_hdock_1_id.pdb
3LVK,-0.711287,0.008000,20.719908,17.445835,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/3LVK/3LVK_hdock_1_id.pdb
1S1Q,-0.712459,0.021000,14.246565,14.203808,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/1S1Q/1S1Q_hdock_1_id.pdb
1GLA,-0.712731,0.006000,29.551405,23.231255,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/1GLA/1GLA_hdock_1_id.pdb
1B6C,-0.712912,0.967000,0.376287,0.383554,high,1,/root/PPCBench/results/DB5/hdock_1/1B6C/1B6C_hdock_1_id.pdb
3S9D,-0.714048,0.996000,0.191634,0.143146,high,1,/root/PPCBench/results/DB5/hdock_1/3S9D/3S9D_hdock_1_id.pdb
1JTG,-0.714240,0.972000,0.249947,0.309335,high,1,/root/PPCBench/results/DB5/hdock_1/1JTG/1JTG_hdock_1_id.pdb
1FCC,-0.715412,0.021000,15.358219,11.468710,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/1FCC/1FCC_hdock_1_id.pdb
4FP8,-0.715691,0.004000,33.512226,33.920307,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/4FP8/4FP8_hdock_1_id.pdb
1R6Q,-0.715908,0.025000,10.849573,11.572998,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/1R6Q/1R6Q_hdock_1_id.pdb
4FZA,-0.715935,0.010000,25.755367,24.581116,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/4FZA/4FZA_hdock_1_id.pdb
1AZS,-0.715964,0.934000,0.482511,0.864398,high,1,/root/PPCBench/results/DB5/hdock_1/1AZS/1AZS_hdock_1_id.pdb
1K74,-0.716271,0.985000,0.288022,0.275664,high,1,/root/PPCBench/results/DB5/hdock_1/1K74/1K74_hdock_1_id.pdb
3BIW,-0.716343,0.009000,15.165099,21.061918,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/3BIW/3BIW_hdock_1_id.pdb
1Z5Y,-0.716658,0.963000,0.212938,0.421132,high,1,/root/PPCBench/results/DB5/hdock_1/1Z5Y/1Z5Y_hdock_1_id.pdb
3P57,-0.716708,0.018000,9.406371,17.418756,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/3P57/3P57_hdock_1_id.pdb
2HQS,-0.717115,0.991000,0.186456,0.157013,high,1,/root/PPCBench/results/DB5/hdock_1/2HQS/2HQS_hdock_1_id.pdb
1JMO,-0.717180,0.995000,0.147045,0.183028,high,1,/root/PPCBench/results/DB5/hdock_1/1JMO/1JMO_hdock_1_id.pdb
2OOR,-0.717242,0.996000,0.159048,0.116758,high,1,/root/PPCBench/results/DB5/hdock_1/2OOR/2OOR_hdock_1_id.pdb
3D5S,-0.717502,0.011000,17.698963,18.276861,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/3D5S/3D5S_hdock_1_id.pdb
3BP8,-0.717725,0.977000,0.215499,0.178538,high,1,/root/PPCBench/results/DB5/hdock_1/3BP8/3BP8_hdock_1_id.pdb
1HE8,-0.717749,0.004000,26.575705,30.196556,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/1HE8/1HE8_hdock_1_id.pdb
1JZD,-0.718579,0.985000,0.231156,0.270721,high,1,/root/PPCBench/results/DB5/hdock_1/1JZD/1JZD_hdock_1_id.pdb
3F1P,-0.718770,0.961000,0.486001,0.459157,high,1,/root/PPCBench/results/DB5/hdock_1/3F1P/3F1P_hdock_1_id.pdb
2MTA,-0.718897,0.961000,0.425720,0.447832,high,1,/root/PPCBench/results/DB5/hdock_1/2MTA/2MTA_hdock_1_id.pdb
1DFJ,-0.718974,0.978000,0.255418,0.234644,high,1,/root/PPCBench/results/DB5/hdock_1/1DFJ/1DFJ_hdock_1_id.pdb
4M5Z,-0.720134,0.989000,0.225107,0.243261,high,1,/root/PPCBench/results/DB5/hdock_1/4M5Z/4M5Z_hdock_1_id.pdb
1CLV,-0.720884,0.967000,0.405424,0.190154,high,1,/root/PPCBench/results/DB5/hdock_1/1CLV/1CLV_hdock_1_id.pdb
2NZ8,-0.721663,0.984000,0.247289,0.268160,high,1,/root/PPCBench/results/DB5/hdock_1/2NZ8/2NZ8_hdock_1_id.pdb
2I9B,-0.722236,0.972000,0.237685,0.255566,high,1,/root/PPCBench/results/DB5/hdock_1/2I9B/2I9B_hdock_1_id.pdb
1ZM4,-0.722258,0.029000,19.539278,12.913018,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/1ZM4/1ZM4_hdock_1_id.pdb
6A0Z,-0.722486,0.926000,0.368340,0.793336,high,1,/root/PPCBench/results/DB5/hdock_1/6A0Z/6A0Z_hdock_1_id.pdb
1M10,-0.722572,0.970000,0.279519,0.394977,high,1,/root/PPCBench/results/DB5/hdock_1/1M10/1M10_hdock_1_id.pdb
1AK4,-0.723766,0.050000,9.255823,10.697096,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/1AK4/1AK4_hdock_1_id.pdb
2AYO,-0.724472,0.990000,0.168678,0.121315,high,1,/root/PPCBench/results/DB5/hdock_1/2AYO/2AYO_hdock_1_id.pdb
2I25,-0.725411,0.969000,0.258096,0.415476,high,1,/root/PPCBench/results/DB5/hdock_1/2I25/2I25_hdock_1_id.pdb
2VDB,-0.725814,0.993000,0.207116,0.122867,high,1,/root/PPCBench/results/DB5/hdock_1/2VDB/2VDB_hdock_1_id.pdb
1MAH,-0.726049,0.965000,0.357053,0.250280,high,1,/root/PPCBench/results/DB5/hdock_1/1MAH/1MAH_hdock_1_id.pdb
1BVN,-0.727939,0.968000,0.352080,0.268635,high,1,/root/PPCBench/results/DB5/hdock_1/1BVN/1BVN_hdock_1_id.pdb
1DQJ,-0.728580,0.989000,0.261672,0.266699,high,1,/root/PPCBench/results/DB5/hdock_1/1DQJ/1DQJ_hdock_1_id.pdb
3SE8,-0.728735,0.990000,0.198289,0.285335,high,1,/root/PPCBench/results/DB5/hdock_1/3SE8/3SE8_hdock_1_id.pdb
1ACB,-0.728744,0.933000,0.279118,0.655579,high,1,/root/PPCBench/results/DB5/hdock_1/1ACB/1ACB_hdock_1_id.pdb
6B0S,-0.729149,0.992000,0.209473,0.164384,high,1,/root/PPCBench/results/DB5/hdock_1/6B0S/6B0S_hdock_1_id.pdb
3U7Y,-0.729665,0.984000,0.191413,0.297145,high,1,/root/PPCBench/results/DB5/hdock_1/3U7Y/3U7Y_hdock_1_id.pdb
1I2M,-0.729802,0.988000,0.230085,0.263626,high,1,/root/PPCBench/results/DB5/hdock_1/1I2M/1I2M_hdock_1_id.pdb
2A9K,-0.730226,0.992000,0.225081,0.226019,high,1,/root/PPCBench/results/DB5/hdock_1/2A9K/2A9K_hdock_1_id.pdb
1F34,-0.730500,0.990000,0.235552,0.239546,high,1,/root/PPCBench/results/DB5/hdock_1/1F34/1F34_hdock_1_id.pdb
2O3B,-0.730774,0.989000,0.208971,0.289750,high,1,/root/PPCBench/results/DB5/hdock_1/2O3B/2O3B_hdock_1_id.pdb
1K5D,-0.731782,0.983000,0.382326,0.302148,high,1,/root/PPCBench/results/DB5/hdock_1/1K5D/1K5D_hdock_1_id.pdb
1RKE,-0.732541,0.982000,0.198654,0.310251,high,1,/root/PPCBench/results/DB5/hdock_1/1RKE/1RKE_hdock_1_id.pdb
1XD3,-0.732915,0.997000,0.127343,0.120272,high,1,/root/PPCBench/results/DB5/hdock_1/1XD3/1XD3_hdock_1_id.pdb
1AHW,-0.733732,0.956000,0.200240,0.454234,high,1,/root/PPCBench/results/DB5/hdock_1/1AHW/1AHW_hdock_1_id.pdb
2B4J,-0.733891,0.008000,25.081152,24.146795,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/2B4J/2B4J_hdock_1_id.pdb
1VFB,-0.734246,0.063000,11.001385,12.863575,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/1VFB/1VFB_hdock_1_id.pdb
1IJK,-0.734650,0.991000,0.235955,0.244596,high,1,/root/PPCBench/results/DB5/hdock_1/1IJK/1IJK_hdock_1_id.pdb
3MXW,-0.736062,0.981000,0.268403,0.274472,high,1,/root/PPCBench/results/DB5/hdock_1/3MXW/3MXW_hdock_1_id.pdb
1BKD,-0.736613,0.986000,0.305268,0.285007,high,1,/root/PPCBench/results/DB5/hdock_1/1BKD/1BKD_hdock_1_id.pdb
1IB1,-0.736622,0.980000,0.192962,0.225538,high,1,/root/PPCBench/results/DB5/hdock_1/1IB1/1IB1_hdock_1_id.pdb
1T6B,-0.737355,0.949000,0.330622,0.568230,high,1,/root/PPCBench/results/DB5/hdock_1/1T6B/1T6B_hdock_1_id.pdb
1WQ1,-0.738523,0.991000,0.193782,0.244916,high,1,/root/PPCBench/results/DB5/hdock_1/1WQ1/1WQ1_hdock_1_id.pdb
5O14,-0.738837,0.977000,0.240171,0.468564,high,1,/root/PPCBench/results/DB5/hdock_1/5O14/5O14_hdock_1_id.pdb
2W9E,-0.740385,0.955000,0.354841,0.566245,high,1,/root/PPCBench/results/DB5/hdock_1/2W9E/2W9E_hdock_1_id.pdb
1TMQ,-0.740504,0.988000,0.286621,0.223048,high,1,/root/PPCBench/results/DB5/hdock_1/1TMQ/1TMQ_hdock_1_id.pdb
1LFD,-0.740550,0.993000,0.181242,0.206074,high,1,/root/PPCBench/results/DB5/hdock_1/1LFD/1LFD_hdock_1_id.pdb
2FD6,-0.741132,0.266000,3.500478,4.380156,acceptable,1,/root/PPCBench/results/DB5/hdock_1/2FD6/2FD6_hdock_1_id.pdb
2SNI,-0.743944,0.996000,0.177746,0.127206,high,1,/root/PPCBench/results/DB5/hdock_1/2SNI/2SNI_hdock_1_id.pdb
2X9A,-0.744395,0.992000,0.223380,0.215348,high,1,/root/PPCBench/results/DB5/hdock_1/2X9A/2X9A_hdock_1_id.pdb
1GL1,-0.744428,0.969000,0.276947,0.306479,high,1,/root/PPCBench/results/DB5/hdock_1/1GL1/1GL1_hdock_1_id.pdb
1R0R,-0.744678,0.985000,0.205995,0.229524,high,1,/root/PPCBench/results/DB5/hdock_1/1R0R/1R0R_hdock_1_id.pdb
5X0T,-0.746308,0.941000,0.306202,0.509601,high,1,/root/PPCBench/results/DB5/hdock_1/5X0T/5X0T_hdock_1_id.pdb
3L5W,-0.746537,0.987000,0.185017,0.285862,high,1,/root/PPCBench/results/DB5/hdock_1/3L5W/3L5W_hdock_1_id.pdb
1H1V,-0.746621,0.972000,0.313168,0.342704,high,1,/root/PPCBench/results/DB5/hdock_1/1H1V/1H1V_hdock_1_id.pdb
4IZ7,-0.747059,0.978000,0.243782,0.240952,high,1,/root/PPCBench/results/DB5/hdock_1/4IZ7/4IZ7_hdock_1_id.pdb
2C0L,-0.749281,0.985000,0.189653,0.208775,high,1,/root/PPCBench/results/DB5/hdock_1/2C0L/2C0L_hdock_1_id.pdb
5JMO,-0.749803,0.010000,18.356934,18.198629,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/5JMO/5JMO_hdock_1_id.pdb
1JIW,-0.750945,0.990000,0.087056,0.090653,high,1,/root/PPCBench/results/DB5/hdock_1/1JIW/1JIW_hdock_1_id.pdb
1PVH,-0.751158,0.967000,0.355458,0.654571,high,1,/root/PPCBench/results/DB5/hdock_1/1PVH/1PVH_hdock_1_id.pdb
4JCV,-0.751553,0.007000,25.411282,25.963610,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/4JCV/4JCV_hdock_1_id.pdb
1HIA,-0.751622,0.988000,0.228284,0.160718,high,1,/root/PPCBench/results/DB5/hdock_1/1HIA/1HIA_hdock_1_id.pdb
4G6M,-0.752305,0.992000,0.184474,0.197505,high,1,/root/PPCBench/results/DB5/hdock_1/4G6M/4G6M_hdock_1_id.pdb
5KOV,-0.754825,0.991000,0.151932,0.276890,high,1,/root/PPCBench/results/DB5/hdock_1/5KOV/5KOV_hdock_1_id.pdb
