target,n,top_model,top_score,top_fnat,top_dockq,top_class,fnat_top1_success,dockq_top1_success,n_fnat_success,n_dockq_success,first_fnat_rank,first_fnat_model,first_fnat_score,first_fnat,first_fnat_dockq,best_fnat_model,best_fnat_rank,best_fnat_score,best_fnat,best_fnat_dockq,best_dockq_model,best_dockq_rank,best_dockq_score,best_dockq,best_dockq_fnat
S-T046.1,160,514,-0.6548780202865601,0.4203,0.2212,incorrect,True,False,27,22,1,514,-0.6548780202865601,0.4203,0.2212,453,12,-0.6707617044448853,0.5362,0.3627,421,16,-0.6791559457778931,0.39,0.4203
S-T047.1,128,401,-0.6177809238433838,0.8393,0.8349,high,True,True,101,101,1,401,-0.6177809238433838,0.8393,0.8349,339,17,-0.6449382305145264,0.9286,0.7449,360,20,-0.6473059058189392,0.9076,0.8214
S-T050.1,140,411,-0.6992913484573364,0.6735,0.5834,medium,True,True,26,35,1,411,-0.6992913484573364,0.6735,0.5834,369,107,-0.7437983155250549,0.7347,0.5264,404,28,-0.7202202081680298,0.6504,0.4694
S-T053.1,130,483,-0.6404362320899963,0.1538,0.1189,incorrect,False,False,25,40,2,453,-0.6428931951522827,0.4231,0.4973,394,4,-0.6519131660461426,0.7692,0.7518,394,4,-0.6519131660461426,0.7518,0.7692
S-T054.1,130,480,-0.6512552499771118,0.32,0.1639,incorrect,True,False,1,0,1,480,-0.6512552499771118,0.32,0.1639,480,1,-0.6512552499771118,0.32,0.1639,434,70,-0.7031508684158325,0.2074,0.3
S-T068.1,120,335,-1.2262723445892334,0.12,0.1212,incorrect,False,False,0,0,0,,,,,249,67,-1.396205186843872,0.25,0.1359,249,67,-1.396205186843872,0.1359,0.25
S-T068.2,120,268,-0.639219343662262,0.0,0.0242,incorrect,False,False,0,0,0,,,,,250,79,-0.7427586913108826,0.0233,0.0324,305,105,-0.8355486989021301,0.047,0.0
S-T069.1,132,375,-0.6623514294624329,0.5075,0.5509,medium,True,True,74,82,1,375,-0.6623514294624329,0.5075,0.5509,277,54,-0.7053859829902649,0.6482,0.5979,353,60,-0.7091074585914612,0.6052,0.6281
S-T070.1,130,325,-0.6424198150634766,0.0303,0.0429,incorrect,False,False,0,0,0,,,,,273,46,-0.6912530064582825,0.0909,0.0588,265,31,-0.6842840909957886,0.087,0.0303
S-T070.2,130,351,-0.6343721151351929,0.3333,0.4157,acceptable,True,True,25,27,1,351,-0.6343721151351929,0.3333,0.4157,252,28,-0.6768386960029602,0.75,0.6272,261,6,-0.6430147290229797,0.667,0.6667
S-T071.1,131,323,-0.4732491075992584,0.0,0.0428,incorrect,False,False,0,0,0,,,,,338,35,-0.6985811591148376,0.2979,0.1914,338,35,-0.6985811591148376,0.1914,0.2979
S-T071.2,131,257,0.0,0.0,0.0139,incorrect,False,False,0,0,0,,,,,214,27,-0.690349280834198,0.1081,0.0463,255,126,-0.8187620639801025,0.0617,0.0
S-T071.3,131,328,-0.5533978343009949,0.0,0.0812,incorrect,False,False,5,6,31,244,-0.7033373713493347,0.6,0.4811,303,52,-0.7158623337745667,0.625,0.4911,303,52,-0.7158623337745667,0.4911,0.625
S-T072.1,130,268,-0.6316573023796082,0.4211,0.2632,incorrect,True,True,10,10,1,268,-0.6316573023796082,0.4211,0.2632,310,33,-0.6980166435241699,0.6316,0.3983,310,33,-0.6980166435241699,0.3983,0.6316
S-T073.1,110,279,0.011122405529022217,0.0,0.0264,incorrect,False,False,0,0,0,,,,,282,26,-0.698213517665863,0.2941,0.1828,285,41,-0.7106243968009949,0.194,0.2941
S-T073.2,110,327,0.15680770576000214,0.0,0.0247,incorrect,False,False,3,3,81,273,-0.7396966814994812,0.75,0.2844,272,87,-0.750791609287262,0.75,0.2844,272,87,-0.750791609287262,0.2844,0.75
S-T075.1,120,260,-0.6536071300506592,0.411,0.3237,acceptable,True,True,33,37,1,260,-0.6536071300506592,0.411,0.3237,263,60,-0.6990359425544739,0.5479,0.5303,347,102,-0.7261481881141663,0.6021,0.5342
S-T077.1,120,320,-0.6658194065093994,0.0,0.0068,incorrect,False,False,0,0,0,,,,,318,105,-0.7820836305618286,0.1222,0.0534,318,105,-0.7820836305618286,0.0534,0.1222
S-T078.1,110,260,-0.5327603816986084,0.0,0.0243,incorrect,False,False,42,1,4,331,-0.6743593811988831,0.3661,0.205,258,20,-0.6966317296028137,0.4464,0.2268,245,35,-0.7042816281318665,0.2663,0.4196
S-T079.1,120,318,-0.6335173845291138,0.0,0.0156,incorrect,False,False,6,9,2,266,-0.6528815031051636,0.6346,0.5884,322,66,-0.7257810235023499,0.7451,0.5941,322,66,-0.7257810235023499,0.5941,0.7451
S-T080.1,120,375,-0.6572083234786987,0.6875,0.6871,medium,True,True,64,65,1,375,-0.6572083234786987,0.6875,0.6871,271,19,-0.6758880615234375,0.8125,0.7872,271,19,-0.6758880615234375,0.7872,0.8125
S-T081.1,110,247,-0.6299587488174438,0.3125,0.3453,acceptable,True,True,41,53,1,247,-0.6299587488174438,0.3125,0.3453,243,42,-0.6955989599227905,0.7917,0.685,239,80,-0.7290332913398743,0.7057,0.75
S-T085.1,120,358,-0.6936500072479248,0.0109,0.0145,incorrect,False,False,103,103,10,326,-0.7276967167854309,0.7382,0.4674,286,41,-0.7544079422950745,0.7927,0.7163,331,45,-0.7570850849151611,0.779,0.7782
S-T086.1,120,282,-0.6249106526374817,0.0,0.0268,incorrect,False,False,4,6,12,363,-0.6817667484283447,0.5714,0.488,328,51,-0.7262338399887085,0.5714,0.2544,363,12,-0.6817667484283447,0.488,0.5714
S-T086.2,120,282,-0.6247294545173645,0.0,0.0258,incorrect,False,False,9,6,10,290,-0.6737282276153564,0.3158,0.1582,275,52,-0.7266132831573486,1.0,0.8141,275,52,-0.7266132831573486,0.8141,1.0
S-T087.1,120,257,-1.659804105758667,0.0458,0.0709,incorrect,False,False,82,87,4,307,-1.6905955076217651,0.524,0.4923,266,92,-1.8569777011871338,0.6538,0.6141,267,56,-1.7847375869750977,0.615,0.6442
S-T088.1,130,280,-0.6432315707206726,0.0526,0.1313,incorrect,False,False,0,0,0,,,,,346,105,-0.718818187713623,0.1875,0.1542,346,105,-0.718818187713623,0.1542,0.1875
S-T089.1,110,279,-1.9061940908432007,0.0,0.0114,incorrect,False,False,51,50,5,243,-1.9565478563308716,0.4717,0.3272,287,103,-2.1379661560058594,0.7925,0.6801,287,103,-2.1379661560058594,0.6801,0.7925
S-T090.1,110,279,-0.6459735631942749,0.5541,0.5376,medium,True,True,54,57,1,279,-0.6459735631942749,0.5541,0.5376,255,34,-0.6820259094238281,0.7516,0.585,224,44,-0.685630202293396,0.6298,0.6879
S-T091.1,110,280,-0.6398250460624695,0.7273,0.5955,acceptable,True,True,88,91,1,280,-0.6398250460624695,0.7273,0.5955,352,58,-0.7028496861457825,0.7955,0.6107,328,51,-0.6981453895568848,0.6325,0.6591
S-T092.1,110,264,-0.6517059206962585,0.3577,0.4666,medium,True,True,63,72,1,264,-0.6517059206962585,0.3577,0.4666,246,4,-0.6662646532058716,0.5203,0.5183,299,107,-0.7503203749656677,0.5252,0.5203
S-T093.1,110,313,-0.6561498045921326,0.0,0.0121,incorrect,False,False,86,88,2,300,-0.664415717124939,0.6169,0.575,287,73,-0.7246478199958801,0.7363,0.6827,259,60,-0.7127156853675842,0.7151,0.7015
S-T094.1,120,240,-0.6568592190742493,0.0,0.0195,incorrect,False,False,42,42,2,236,-0.6671172380447388,0.7083,0.5762,220,34,-0.7120496034622192,0.7083,0.5109,236,2,-0.6671172380447388,0.5762,0.7083
S-T096.1,155,381,-0.6344719529151917,0.0182,0.0607,incorrect,False,False,1,2,4,386,-0.6613110899925232,0.32,0.3634,386,4,-0.6613110899925232,0.32,0.3634,413,72,-0.7059224247932434,0.3954,0.22
S-T097.1,150,363,-0.6356029510498047,0.0366,0.0418,incorrect,False,False,12,18,12,403,-0.655935525894165,0.5488,0.5486,367,50,-0.6795130372047424,0.5488,0.5528,326,13,-0.6567209959030151,0.6361,0.4512
S-T098.1,150,327,-0.6504822969436646,0.0,0.045,incorrect,False,False,0,0,0,,,,,350,57,-0.7073132395744324,0.055,0.0362,377,142,-0.7836277484893799,0.0972,0.0417
S-T099.1,150,393,-0.6627950072288513,0.0,0.0312,incorrect,False,False,0,0,0,,,,,299,20,-0.6930233836174011,0.0619,0.0702,338,141,-0.797127366065979,0.1328,0.0531
S-T100.1,140,327,-0.6687062978744507,0.0,0.061,incorrect,False,False,0,0,0,,,,,276,124,-0.7624093890190125,0.2807,0.1152,349,98,-0.7375989556312561,0.1176,0.0
S-T101.1,150,392,-0.6514745950698853,0.0,0.0084,incorrect,False,False,0,0,0,,,,,371,63,-0.7150603532791138,0.0495,0.0267,265,139,-0.7819928526878357,0.0455,0.0273
S-T104.1,170,363,-0.6375141739845276,0.65,0.6977,medium,True,True,140,140,1,363,-0.6375141739845276,0.65,0.6977,410,34,-0.6759239435195923,0.8167,0.8433,444,164,-0.7604019045829773,0.848,0.8
S-T105.1,169,424,-0.6331706643104553,0.4815,0.4391,acceptable,True,True,149,149,1,424,-0.6331706643104553,0.4815,0.4391,486,158,-0.7318509221076965,0.9259,0.8891,486,158,-0.7318509221076965,0.8891,0.9259
S-T107.1,139,366,-0.6962634921073914,0.0169,0.1037,incorrect,False,False,0,0,0,,,,,387,47,-0.7402160167694092,0.0763,0.0815,342,75,-0.7642844319343567,0.1314,0.0593
S-T110.1,160,325,-0.6473514437675476,0.026,0.0512,incorrect,False,False,97,131,2,284,-0.6566042900085449,0.4675,0.5521,347,62,-0.692462146282196,0.5584,0.5821,371,117,-0.7119975686073303,0.5976,0.48
S-T113.1,160,393,-0.6438111066818237,0.026,0.0662,incorrect,False,False,0,5,0,,,,,343,95,-0.7159843444824219,0.2667,0.2948,343,95,-0.7159843444824219,0.2948,0.2667
S-T116.1,160,422,-0.6451868414878845,0.2165,0.0825,incorrect,False,False,29,1,25,357,-0.6686378717422485,0.6082,0.22,388,107,-0.718684732913971,0.6495,0.231,388,107,-0.718684732913971,0.231,0.6495
S-T117.1,160,399,-1.710645318031311,0.0,0.0137,incorrect,False,False,60,26,3,335,-1.7220375537872314,0.5395,0.1916,358,55,-1.8061010837554932,0.7803,0.278,358,55,-1.8061010837554932,0.278,0.7803
S-T117.2,160,348,0.005559964571148157,0.0,0.011,incorrect,False,False,0,0,0,,,,,255,42,-0.682431697845459,0.0566,0.0315,324,32,-0.6665204167366028,0.0316,0.0566
S-T117.3,160,258,-0.6741807460784912,0.0,0.0178,incorrect,False,False,65,38,31,320,-0.7199949026107788,0.4965,0.1693,358,115,-0.7584866881370544,0.811,0.2886,281,136,-0.7723909020423889,0.2943,0.7042
S-T117.4,160,343,-1.6933504343032837,0.0,0.0097,incorrect,False,False,1,3,155,297,-1.9330002069473267,0.3111,0.3238,297,155,-1.9330002069473267,0.3111,0.3238,297,155,-1.9330002069473267,0.3238,0.3111
S-T119.1,170,331,-0.6327892541885376,0.6117,0.4741,acceptable,True,True,91,94,1,331,-0.6327892541885376,0.6117,0.4741,311,113,-0.7040019631385803,0.8214,0.4809,333,25,-0.6680018305778503,0.5727,0.6117
S-T120.1,150,298,-0.6480251550674438,0.0139,0.0468,incorrect,False,False,7,10,3,379,-0.6593150496482849,0.3472,0.3473,319,18,-0.676864504814148,0.3611,0.4403,319,18,-0.676864504814148,0.4403,0.3611
S-T121.1,170,486,-0.6669996380805969,0.0,0.0499,incorrect,False,False,9,18,21,493,-0.7215209007263184,0.3509,0.3566,387,67,-0.7752494812011719,0.386,0.4195,384,50,-0.7571150064468384,0.4322,0.3684
S-T122.1,200,2390,-0.6648179888725281,0.0,0.1923,incorrect,False,False,16,134,21,2541,-0.6924569010734558,0.3902,0.2418,2543,169,-0.7447541952133179,0.4146,0.2502,2482,14,-0.6842552423477173,0.4186,0.1194
S-T123.1,190,2461,-0.6547819375991821,0.0,0.0294,incorrect,False,False,0,0,0,,,,,2552,137,-0.7640455365180969,0.16,0.0762,2532,21,-0.6830279231071472,0.0764,0.08
S-T124.1,86,2099,-0.6477726101875305,0.0066,0.0149,incorrect,False,False,0,0,0,,,,,2068,84,-0.7852676510810852,0.0728,0.0279,2138,61,-0.7334747314453125,0.0538,0.0
S-T125.1,190,2048,0.09256311506032944,0.0,0.0263,incorrect,False,False,82,85,18,2125,-0.6705015897750854,0.4677,0.6106,2179,101,-0.7406384944915771,0.7419,0.8124,2179,101,-0.7406384944915771,0.8124,0.7419
S-T125.2,190,2135,-0.6339905261993408,0.1316,0.3103,acceptable,False,True,170,175,2,2203,-0.6493464112281799,0.8056,0.6078,2195,51,-0.6778069734573364,0.9737,0.8878,2133,86,-0.6903232336044312,0.9569,0.9474
S-T125.3,190,2146,-1.2676726579666138,0.0,0.0551,incorrect,False,False,0,0,0,,,,,2211,67,-1.403778314590454,0.2121,0.1463,2083,49,-1.3854403495788574,0.1928,0.0303
S-T125.4,190,2072,0.2181522697210312,0.0,0.0189,incorrect,False,False,0,0,0,,,,,2140,128,-0.763964056968689,0.0732,0.1127,2167,78,-0.7174286842346191,0.1819,0.0
S-T131.1,185,2302,-1.69617760181427,0.0,0.0194,incorrect,False,False,5,6,125,2350,-1.8007378578186035,0.4932,0.6038,2275,183,-1.9086720943450928,0.549,0.5695,2350,125,-1.8007378578186035,0.6038,0.4932
S-T132.1,189,2300,-0.6300562620162964,0.2687,0.2639,acceptable,False,True,2,8,11,2447,-0.6604775190353394,0.3731,0.4359,2373,23,-0.6703494191169739,0.5079,0.5527,2373,23,-0.6703494191169739,0.5527,0.5079
S-T133.1,200,2600,-0.6229317784309387,0.3208,0.3221,acceptable,True,True,83,86,1,2600,-0.6229317784309387,0.3208,0.3221,2652,48,-0.6712216734886169,0.8491,0.7713,2652,48,-0.6712216734886169,0.7713,0.8491
S-T136.1,160,444,-0.7227687239646912,0.6006,0.6555,medium,True,True,117,160,1,444,-0.7227687239646912,0.6006,0.6555,331,25,-0.7506939172744751,0.7226,0.6884,331,25,-0.7506939172744751,0.6884,0.7226
S-T136.2,160,329,-0.708746075630188,0.4118,0.5442,medium,True,True,57,157,1,329,-0.708746075630188,0.4118,0.5442,299,94,-0.7586413621902466,0.549,0.6272,299,94,-0.7586413621902466,0.6272,0.549
S-T136.3,160,416,-0.6872623562812805,0.0,0.2657,incorrect,False,True,41,156,3,421,-0.6941715478897095,0.5116,0.4789,299,95,-0.7446343898773193,0.5778,0.6028,299,95,-0.7446343898773193,0.6028,0.5778
S-T138.1,153,1796,-0.6740201711654663,0.0,0.0067,incorrect,False,False,0,0,0,,,,,1884,104,-0.7417308688163757,0.1132,0.0531,1886,9,-0.6937896013259888,0.0576,0.066
S-T138.2,170,1807,-0.6664323806762695,0.0,0.0026,incorrect,False,False,0,0,0,,,,,1839,36,-0.7050954103469849,0.209,0.0842,1811,81,-0.7231653332710266,0.1027,0.1194
S-T140.1,180,1747,-0.6718435287475586,0.0,0.0497,incorrect,False,False,150,154,8,1839,-0.6957006454467773,0.392,0.4016,1827,116,-0.7702909708023071,0.804,0.7175,1785,94,-0.7606552243232727,0.7918,0.764
S-T141.1,179,1797,-0.6694372892379761,0.0284,0.0359,incorrect,False,False,16,23,21,1800,-0.6880897283554077,0.3984,0.3611,1766,111,-0.7341885566711426,0.4779,0.3875,1835,161,-0.7745192050933838,0.4398,0.3807
S-T142.1,166,1832,-0.6552971601486206,0.0,0.0168,incorrect,False,False,43,45,2,1763,-0.6687233448028564,0.5714,0.5533,1746,11,-0.6818656325340271,0.8095,0.7577,1746,11,-0.6818656325340271,0.7577,0.8095
S-T143.1,176,1959,-0.6345140933990479,0.3478,0.4255,medium,True,True,109,115,1,1959,-0.6345140933990479,0.3478,0.4255,1832,64,-0.6837143898010254,0.9275,0.5941,1828,84,-0.6896130442619324,0.6513,0.8696
S-T144.1,154,1711,-0.7386651039123535,0.122,0.1863,incorrect,False,False,119,122,13,1780,-0.7560511827468872,0.5163,0.5009,1785,138,-0.8508274555206299,0.565,0.5754,1747,90,-0.8180798292160034,0.6231,0.5366
S-T146.1,180,1911,-1.4637705087661743,0.7419,0.3813,incorrect,True,True,44,51,1,1911,-1.4637705087661743,0.7419,0.3813,1801,21,-1.540479063987732,0.871,0.4043,1915,67,-1.6037282943725586,0.5811,0.4242
S-T146.2,152,1774,0.0,0.0,0.0129,incorrect,False,False,0,0,0,,,,,1823,46,-0.6917238831520081,0.2222,0.2157,1865,88,-0.7230027318000793,0.2189,0.2222
S-T146.3,180,1915,-1.4272650480270386,0.0,0.0199,incorrect,False,False,6,7,16,1859,-1.5196776390075684,0.4,0.3534,1804,126,-1.6698077917099,0.8222,0.583,1890,115,-1.6623824834823608,0.5842,0.8222
S-T151.1,160,342,-0.69122314453125,0.925,0.9026,high,True,True,91,93,1,342,-0.69122314453125,0.925,0.9026,400,10,-0.7543507814407349,0.9583,0.9036,437,4,-0.7226607203483582,0.9077,0.925
S-T151.2,160,1214,-0.6708548665046692,0.0,0.0074,incorrect,False,False,4,3,3,1281,-0.727983832359314,0.3889,0.2831,1211,42,-0.7998388409614563,0.6905,0.3769,1211,42,-0.7998388409614563,0.3769,0.6905
S-T151.3,160,1403,-0.6300917863845825,0.0,0.0031,incorrect,False,False,80,3,4,1412,-0.6750104427337646,0.4186,0.1647,1373,157,-0.8242442607879639,0.5349,0.2358,1419,114,-0.7502205967903137,0.2364,0.5349
S-T151.4,160,1332,0.47650113701820374,0.0,0.0074,incorrect,False,False,0,0,0,,,,,1315,103,-0.7061811685562134,0.0526,0.0908,1350,121,-0.7330984473228455,0.0934,0.0526
S-T151.5,147,1252,-0.23536467552185059,0.0,0.0169,incorrect,False,False,0,0,0,,,,,1266,97,-0.744879961013794,0.05,0.0483,1390,43,-0.7080399990081787,0.0962,0.0
S-T152.1,169,1990,-0.6727010011672974,0.0,0.0248,incorrect,False,False,148,154,2,1918,-0.6733283400535583,0.6708,0.7248,1942,165,-0.7473171353340149,0.7857,0.8578,1942,165,-0.7473171353340149,0.8578,0.7857
S-T153.1,178,2106,-0.6218582391738892,0.7556,0.5854,medium,True,True,112,112,1,2106,-0.6218582391738892,0.7556,0.5854,2140,125,-0.7084254622459412,0.9111,0.842,2140,125,-0.7084254622459412,0.842,0.9111
S-T154.1,166,2071,-0.6806782484054565,0.0,0.0212,incorrect,False,False,0,1,0,,,,,2087,110,-0.757855236530304,0.1842,0.3151,2087,110,-0.757855236530304,0.3151,0.1842
S-T158.1,158,1426,-1.7568118572235107,0.5455,0.6116,medium,True,True,120,129,1,1426,-1.7568118572235107,0.5455,0.6116,1393,83,-2.0417635440826416,0.7273,0.6309,1451,27,-1.961001992225647,0.6799,0.697
S-T159.1,150,1063,-0.6502058506011963,0.2525,0.3572,acceptable,False,True,125,139,3,1169,-0.6632193326950073,0.6975,0.7225,1058,93,-0.7077341675758362,0.7647,0.7474,1192,12,-0.6788136959075928,0.7666,0.7395
S-T159.2,115,820,-0.6649290323257446,0.0222,0.0403,incorrect,False,False,0,0,0,,,,,751,30,-0.6944403052330017,0.0833,0.0531,740,46,-0.7050586938858032,0.059,0.0312
S-T159.3,99,811,-0.6606184840202332,0.0,0.0024,incorrect,False,False,0,0,0,,,,,835,9,-0.6998081207275391,0.019,0.0127,796,80,-0.7642057538032532,0.0193,0.0
S-T159.4,83,452,-0.6649459600448608,0.0,0.0134,incorrect,False,False,0,0,0,,,,,439,54,-0.7213857769966125,0.0213,0.0441,439,54,-0.7213857769966125,0.0441,0.0213
S-T159.5,83,464,-0.6437141299247742,0.0857,0.0358,incorrect,False,False,0,0,0,,,,,450,54,-0.7244861721992493,0.1429,0.0548,450,54,-0.7244861721992493,0.0548,0.1429
S-T159.6,114,827,-0.6873432993888855,0.2821,0.3596,acceptable,False,True,103,108,3,757,-0.6914495825767517,0.641,0.4338,749,51,-0.7217966914176941,0.8462,0.6579,749,51,-0.7217966914176941,0.6579,0.8462
S-T159.7,143,1009,-0.6553260087966919,0.1562,0.3741,acceptable,False,True,9,88,6,1016,-0.6865840554237366,0.4062,0.5229,927,119,-0.8164874315261841,0.6875,0.6544,927,119,-0.8164874315261841,0.6544,0.6875
S-T164.1,169,1644,-0.6716094017028809,0.5739,0.4595,acceptable,True,True,145,148,1,1644,-0.6716094017028809,0.5739,0.4595,1750,10,-0.6808714866638184,0.6522,0.4718,1756,128,-0.7339816689491272,0.5701,0.6087
S-T165.1,190,1385,0.022144680842757225,0.0,0.0018,incorrect,False,False,0,0,0,,,,,1333,100,-0.7473320960998535,0.0484,0.0879,1315,18,-0.6635631918907166,0.109,0.0
S-T166.1,190,1520,-0.6353753805160522,0.6667,0.5646,medium,True,True,95,104,1,1520,-0.6353753805160522,0.6667,0.5646,1393,68,-0.6935179233551025,0.9074,0.6436,1419,93,-0.7079361081123352,0.751,0.8519
S-T169.1,189,1624,-0.6431080102920532,0.0098,0.0811,incorrect,False,False,0,1,0,,,,,1512,46,-0.6841932535171509,0.0686,0.1601,1538,32,-0.677598774433136,0.2539,0.0392
S-T176.1,185,1480,-0.6481093168258667,0.0,0.0484,incorrect,False,False,4,15,32,1646,-0.6817259192466736,0.3571,0.2286,1641,79,-0.7125680446624756,0.6786,0.4281,1539,160,-0.7660820484161377,0.4841,0.1944
S-T180.1,171,985,-0.6540119647979736,0.0291,0.0772,incorrect,False,False,10,10,13,988,-0.6812002658843994,0.4655,0.422,988,13,-0.6812002658843994,0.4655,0.422,988,13,-0.6812002658843994,0.422,0.4655
S-T180.2,172,907,-0.6549584865570068,0.0,0.0178,incorrect,False,False,94,116,2,992,-0.6552221179008484,0.4286,0.2693,893,58,-0.729458749294281,0.525,0.3652,994,20,-0.6924681067466736,0.5016,0.4048
